ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,Yellow Media,panchayat elections,Kuppam,janasena party,ap employees,ap assembly session today,Atchannaidu,alliance,ambati rambabu ,polavaram,visakha,vijayasai reddy,roja,nellore ,yuvashakti,tadepalli,suprem court,tdp leaders arrest,ap development,balineni srinivasa reddy,tadipatri,nandigama
TpzxO7JSdLY,2022-03-17,0.9954304695129396,54739.0,Sakshi,479.0,74.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nNPOuKWO3WA,2022-03-17,-0.9966741800308228,8876.0,Sakshi,535.0,15.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7iOg_hHwRCw,2022-03-18,0.9831923842430116,14139.0,Sakshi,396.0,35.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FK4IK2KqUmM,2022-03-18,0.9964858293533324,29693.0,Sakshi,428.0,99.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JyaMxNrjFS4,2022-03-21,-0.9993451237678528,54060.0,Sakshi,154.0,120.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dhKss0BR-B4,2022-03-21,0.9967304468154908,2769.0,Sakshi,245.0,7.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
qSFvekPdsIw,2022-03-22,0.9982352256774902,26941.0,Sakshi,442.0,47.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3iJ60kx8I8A,2022-03-22,0.994270920753479,1740.0,Sakshi,380.0,2.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2Fo7otFjs5A,2022-03-22,0.9957950115203856,1871.0,Sakshi,353.0,9.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JpBF2cOGrCk,2022-03-24,-0.994063675403595,72500.0,Sakshi,276.0,92.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
Jd2EU9ry6aI,2022-03-24,-0.9886454343795776,806.0,Sakshi,183.0,0.0,pamarru.png,Anil Kumar Kaile,YSRCP,Pamarru,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
