ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,high court,alliance,visakha
hKf5GLJ10dI,2022-12-14,-0.8350047469139099,1563.0,ABN,280.0,2.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
YsK23FRLu5M,2022-12-14,-0.9955658316612244,8050.0,ABN,260.0,8.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
j9x2HQ5bSd4,2022-12-14,-0.9994100332260132,5477.0,ABN,250.0,16.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
RopkRsgHxBY,2022-12-14,-0.9980169534683228,2845.0,ABN,265.0,3.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ldgdfWHI1GI,2022-12-14,-0.999294638633728,3900.0,ABN,265.0,2.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1
QpUp-_23jio,2022-12-15,-0.9937368631362916,7199.0,TV9,120.0,9.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OP9Q8Jd9_x0,2022-12-16,0.9663389921188354,6112.0,Sakshi,440.0,10.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
z8MhFsPsYM8,2022-12-16,-0.9885606169700624,3353.0,ABN,470.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m96W54bcMjs,2022-12-19,0.9866604804992676,2303.0,TV9,391.0,4.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uG9qG3KIjmU,2022-12-20,-0.998946726322174,3969.0,ABN,316.0,9.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
NIzSI4SMOYg,2022-12-20,0.9981091022491456,1627.0,TV9,548.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WqysOBcMVBE,2022-12-22,-0.9985737800598145,2875.0,TV9,228.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l0c0riFAAvc,2022-12-26,0.9942409992218018,2477.0,TV9,313.0,0.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NtWS0c7mwQ0,2022-12-27,-0.9978232383728028,8201.0,ABN,250.0,18.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
rRiUFhwamnM,2022-12-27,-0.9939531683921814,31192.0,ABN,475.0,47.0,tiruvuru.png,kokkiligadda rakshana nidhi,YSRCP,Tiruvuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
