ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,visakha
Nyn6xATEw94,2022-12-02,0.9917667508125304,1177.0,Sakshi,563.0,5.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,1,0,0,0,0,0,0,0
P9D5KXd3Bmo,2022-12-03,0.9966005682945251,2486.0,Sakshi,135.0,31.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,0,0,0,0,0,0,1,0
SEgfBsDDP68,2022-12-03,0.9957899451255798,91873.0,Sakshi,599.0,91.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
mddPm2vFFfU,2022-12-07,0.9545135498046876,2950.0,Sakshi,159.0,6.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,1,1,1,0,0,0,0,1,1,1
ClGkJPbJMNk,2022-12-08,-0.9980399012565612,13041.0,TV9,404.0,17.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
eNWTPqNjMww,2022-12-09,-0.9908464550971984,1956.0,ABN,252.0,3.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
RYEoz_s2now,2022-12-10,-0.8958243131637573,20695.0,ABN,480.0,50.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,1,0,0,0,0,0,0
NnCF0jKdjWM,2022-12-10,-0.9993124008178712,2818.0,ABN,450.0,4.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,1,0,0,0,0,0,0,0,0,0
Azqzn9TLh-8,2022-12-10,0.9960606694221495,184986.0,ABN,525.0,517.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
DT2DfHA5OFs,2022-12-12,-0.995181143283844,74958.0,ABN,430.0,69.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
udjSeuidMGQ,2022-12-12,-0.9973022937774658,22095.0,ABN,430.0,49.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
erMrkKKuF9k,2022-12-12,0.9707358479499816,9406.0,ABN,380.0,17.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
JU07_EM-Da8,2022-12-13,0.9881197214126588,1810.0,TV5,305.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,1,0,0,0,0,1,0,0,0,0,0
Vgk-BA0A2tQ,2022-12-14,0.9988070726394652,2658.0,TV9,223.0,7.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,0,0,0,0,0,1,0,0,0
