ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,YS Viveka Case,Gadapa Gadapaku ,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,roja,nellore ,yuvashakti,tadepalli,suprem court,perni nani ,ap development,tadipatri,Kodali Nani ,nandigama
VQDX3gDN41o,2022-10-12,-0.9948556423187256,97369.0,Sakshi,293.0,362.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
f479fTzyUaE,2022-10-13,0.995039403438568,11275.0,Sakshi,294.0,25.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ZAWBMHidJkU,2022-10-14,0.997515082359314,14474.0,Sakshi,410.0,14.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0
Uxpb0ARUlcI,2022-10-14,0.9945129156112672,39601.0,Sakshi,452.0,52.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mfz_crSjYmc,2022-10-14,-0.9986554384231568,27703.0,TV5,100.0,81.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
tRmPDoZ84as,2022-10-15,0.9942325949668884,3360.0,Sakshi,371.0,6.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
8jb3MpXqZe4,2022-10-16,-0.9979944229125975,20054.0,TV5,275.0,16.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKMtYBu_AY8,2022-10-16,0.9969022870063782,8452.0,TV5,415.0,20.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZMJh-q3Yas4,2022-10-16,0.9956003427505492,18663.0,TV5,460.0,30.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CpQmpyT9uz0,2022-10-16,-0.990810751914978,18353.0,TV5,435.0,28.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-1Is0sv8Lkw,2022-10-18,0.9792489409446716,1691.0,TV5,155.0,3.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8SZw3f9HBSA,2022-10-18,-0.9991403818130492,6247.0,TV5,275.0,13.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
nXFr1JpzZc8,2022-10-18,-0.9963228702545166,3233.0,Sakshi,318.0,4.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
4HH0oWcwVyw,2022-10-18,0.9529616832733154,123014.0,ABN,545.0,261.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y3yLvdITQ-8,2022-10-18,0.9856500029563904,6213.0,ABN,450.0,10.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARRiLIeyCh4,2022-10-20,0.9912471175193788,577820.0,Sakshi,532.0,0.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ODXS-9yCdIY,2022-10-20,-0.9956232905387878,45124.0,Sakshi,164.0,244.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
3Zj019Z55aw,2022-10-22,0.9926409125328064,1517.0,ABN,550.0,2.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VsqYMx3DlfQ,2022-10-23,-0.9993337988853456,2155.0,Sakshi,135.0,6.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
z_VaUq30ALc,2022-10-27,-0.9833891987800598,8810.0,ABN,395.0,10.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElN-y00VsoM,2022-10-27,-0.999056875705719,5644.0,ABN,325.0,4.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GgyJY5ee7RQ,2022-10-28,-0.9921941757202148,3391.0,TV5,435.0,4.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srhT1CaD5Zc,2022-10-28,0.9815966486930848,2275.0,TV5,410.0,1.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iDp4aEzdhHk,2022-10-30,0.9965381622314452,11120.0,Sakshi,179.0,30.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
7ODpEcmtNAI,2022-10-31,-0.9959716200828552,6390.0,Sakshi,407.0,33.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wn44Av7kqGI,2022-10-31,0.9881640672683716,33575.0,Sakshi,496.0,207.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bWcgAINmwFc,2022-10-31,0.9987234473228456,1700.0,Sakshi,345.0,10.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VqnH6g1fCuk,2022-11-03,-0.9985585808753968,112141.0,TV5,285.0,187.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
JcQALWx0ZYk,2022-11-06,-0.9897144436836244,3867.0,Sakshi,258.0,2.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
vhhV3TpmuzU,2022-11-08,-0.9920280575752258,1119.0,ABN,221.0,4.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
MpJnVkNEGig,2022-11-11,0.9981473684310912,26167.0,Sakshi,337.0,119.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0
x0iSn86q5yI,2022-11-13,-0.9992092251777648,1044.0,ABN,100.0,4.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1
eIyEJf6g7Xw,2022-11-18,-0.9829376339912416,10688.0,TV5,225.0,27.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCeivGlxV78,2022-11-19,-0.9986248016357422,1001.0,ABN,465.0,0.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yu7kjmh4x3Y,2022-11-19,-0.9992331266403198,585.0,ABN,280.0,0.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1
kDNCpU9q_Co,2022-11-20,0.9777687788009644,4386.0,TV5,251.0,13.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
dPY_u1mg9tM,2022-11-20,-0.9917669892311096,164213.0,Sakshi,417.0,236.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tz7Df-0YW-0,2022-11-22,0.989247500896454,144177.0,Sakshi,481.0,374.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9TfR2rm3pTY,2022-11-23,-0.9994474053382874,3191.0,Sakshi,192.0,14.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0
0jy0D2iqr_Q,2022-11-24,0.99178546667099,1163.0,ABN,168.0,0.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FlhHTtjfTf0,2022-11-29,-0.9902297854423524,13838.0,ABN,285.0,6.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E9qN41AhhNw,2022-11-30,0.9939635396003724,23377.0,Sakshi,471.0,13.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ddk3TylfJfk,2022-12-03,0.99518084526062,1100.0,Sakshi,225.0,1.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
LXbCQR1S71g,2022-12-04,-0.9990586638450624,6777.0,TV9,330.0,24.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
-iaRe2wPe2k,2022-12-05,-0.9910030364990234,74858.0,TV5,290.0,130.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kktmz7-s5ds,2022-12-05,-0.9852861166000366,481.0,TV9,129.0,4.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rv5XrOpO_5M,2022-12-06,-0.993766188621521,1194.0,TV9,323.0,2.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
qwufNUYZLJ8,2022-12-09,0.9836734533309937,5613.0,Sakshi,457.0,5.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F0v2LsBLoLE,2022-12-10,-0.9980905652046204,2952.0,TV9,134.0,9.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a6G7GbPU-W8,2022-12-13,-0.6507529020309448,781.0,TV9,279.0,0.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xQtS1Rn5tRk,2022-12-13,-0.9900158047676086,1953.0,ABN,141.0,9.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
c0kXDG9nV5o,2022-12-14,0.99693763256073,3279.0,TV5,245.0,9.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
QYcoZ5zYOPc,2022-12-14,0.9978417158126832,1716.0,TV9,107.0,2.0,mandanapalli.png,Mohammed Nawaz Basha,YSRCP,Madanapalle,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1
