ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,roja,yuvashakti,suprem court,ap development,tadipatri
Ug-wn-w3eSk,2023-01-23,0.998275637626648,8202.0,Sakshi,426.0,18.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
cG_jYgo1vcQ,2023-01-24,0.9924706220626832,1662.0,Sakshi,589.0,5.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
6Edo27A-jCI,2023-01-24,-0.9931527376174928,7591.0,Sakshi,307.0,20.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,1,1,0,0,1,0,1,0,1,1,1,1
tzlhSC0dZBI,2023-01-24,0.9783543944358826,2667.0,TV9,277.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,1,0,0,0,0,0,0,0,0,0
XWkPYBkyMBM,2023-01-25,-0.9994638562202454,2871.0,TV9,264.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,1,0,0,0,0,0,0,0,0,0
-JJiaZsWdPA,2023-01-25,-0.9991331696510316,5551.0,TV9,209.0,3.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,1,0,0,0,0,0,0,0,0,0
uZ649tkrPG4,2023-01-25,0.9841610789299012,379.0,ABN,458.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
JCtqw86981Q,2023-01-25,-0.98894065618515,2880.0,TV9,202.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,1,1,0,0,0,0,1,1,1,0,0,0
JKP7zcxlQmM,2023-01-26,0.9988370537757874,12613.0,TV9,275.0,14.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,0,1,1,0,0,0,0,0,0,0,0,0
82EUPQWCkQQ,2023-01-27,-0.9994266033172609,980.0,ABN,380.0,4.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,1,0,0,0,0,0,0
3PQFosKvUBw,2023-01-28,0.9855297803878784,3542.0,TV9,510.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,1,0
gsOXJJ2MATY,2023-01-28,0.9983071088790894,614846.0,TV9,482.0,233.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
_vdLIkzQxj4,2023-01-28,0.9936376214027404,73641.0,TV9,457.0,152.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,1,0
CHLFoZPAYqc,2023-01-28,0.9977964162826538,7408.0,ABN,452.0,89.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
xcKsUdnYZw0,2023-01-29,-0.998625874519348,5063.0,TV9,308.0,5.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,1,0,0,0,0,0,0,0,0,0
KCMvDN1Vsyk,2023-02-03,0.9986717700958252,3051.0,TV9,244.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
A5BdBVryM0Q,2023-02-03,0.9981752634048462,1306.0,TV5,120.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
SBfBr31n1P4,2023-02-04,0.9935732483863832,1583.0,TV9,514.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
FR0kBIRR908,2023-02-04,-0.9807745814323424,1065.0,TV9,214.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
36h-LNPS00A,2023-02-07,0.9966939687728882,48043.0,Sakshi,292.0,58.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,1,1,1,0,0,0,0,1,0
H-EaCsl1Hq0,2023-02-09,0.9962965846061708,2893.0,Sakshi,181.0,2.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,1,1,0,1,1,0,0,0,0,0,0,0
sMIdmfntdsI,2023-02-09,0.9984574317932128,691.0,ABN,318.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,1,0,0
YQcvLAYU58I,2023-02-10,-0.9985260367393494,33579.0,TV9,458.0,175.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
tgRCsgCYF2o,2023-02-14,-0.9989812970161438,1516.0,ABN,228.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,0,0,0,0,0,1,0,1,0,1,1,0
_hmZa_gDmqw,2023-02-14,-0.9981943964958192,2591.0,ABN,187.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,1,0,0,0,0,0,0
CPjY0B0id9I,2023-02-14,-0.9940608143806458,1971.0,ABN,232.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,0,0,0,1,0,0,0,1,0,0,0,0
hubL49x7N8Y,2023-02-15,0.9962794184684752,40146.0,TV9,467.0,59.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,1,0,0,0,0
gqd3GwkCxJc,2023-02-17,0.9979708790779114,635.0,TV9,75.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
8cBQfezGfNI,2023-02-18,0.9979642629623412,2835.0,TV9,138.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
5fWpNoLgkxU,2023-02-18,0.9983333945274352,5844.0,TV5,209.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,0,0,0,0,0,0,0,0,0,1,0,0
HSHsOs2QUss,2023-02-18,0.9980042576789856,10198.0,TV9,149.0,5.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
-7sZd1kLtDc,2023-02-21,-0.9854463338851928,1567.0,TV5,296.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,1,1,0,1,0,1,1,0,1,0,1,0
aY-N8MSaDD4,2023-02-26,-0.9966344237327576,3694.0,TV9,136.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
mBZJZRIJZtM,2023-02-27,-0.9920002222061156,2780.0,TV9,214.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,1,0,0
XIE3CXNYMGc,2023-02-28,-0.9985032081604004,1714.0,TV9,168.0,10.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
vQQCz5OJBQ8,2023-03-04,-0.9819321632385254,106001.0,Sakshi,267.0,192.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,1,1,1,0,1,0,0,1,0
SAXewUizpW0,2023-03-06,-0.995730459690094,1238.0,TV9,158.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
i2dXxt6A88w,2023-03-11,-0.9991740584373474,2227.0,TV9,135.0,15.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,1,0,0,0,0,0,1,1,1,1,0,1
yzRdRBSI86E,2023-03-21,0.9922919869422911,79024.0,Sakshi,352.0,117.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,1,1,0,0,0,0,0,0,0
BeEiYeevijA,2023-03-21,-0.9980649352073668,1822.0,TV9,269.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
9lo6iTenqD4,2023-03-22,-0.9993509650230408,1226.0,TV9,321.0,5.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
FEj242qpz6g,2023-03-22,-0.9993577599525452,740.0,TV9,272.0,2.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
j-Iw2iBAlws,2023-03-22,-0.99929678440094,3562.0,Sakshi,217.0,17.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,0,0,0,0,1,1,0,0,0,1,1,0
4bd8LSVMiuA,2023-03-24,-0.9954978227615356,32825.0,TV9,226.0,168.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,1,1,0,0,0,0,0,1,0,0,0,0
