ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
lXaxxol31N4,2023-01-22,-0.9912316203117372,2610.0,Sakshi,132.0,22.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Bxb8UYgYo44,2023-01-22,-0.9976432919502258,4350.0,Sakshi,218.0,24.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
lD3o_-YjG68,2023-01-22,-0.9970263838768004,12205.0,Sakshi,299.0,42.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
YZFIZkRxWAA,2023-01-22,0.9885823726654052,1920.0,Sakshi,252.0,8.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
7VhUlWUsgR8,2023-01-22,-0.9994646906852722,1880.0,Sakshi,311.0,15.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
__nEupk8p5k,2023-01-22,0.9974365830421448,1840.0,Sakshi,176.0,0.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LkZkfXBoz94,2023-01-22,-0.9882105588912964,3480.0,Sakshi,200.0,7.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dexXmuOFouA,2023-01-22,0.9935709238052368,23786.0,Sakshi,344.0,84.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DnUs0ZpE5Dw,2023-01-22,-0.9993730187416076,1913.0,Sakshi,266.0,5.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
lhnYZfJWLMQ,2023-01-22,0.9940754175186156,608.0,Sakshi,553.0,3.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jc4uxqzZknQ,2023-01-22,0.9978570342063904,726.0,Sakshi,135.0,0.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pTvGAVot7LM,2023-01-22,-0.9987383484840392,41724.0,Sakshi,102.0,130.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-CTflqQGig0,2023-01-22,0.9917958378791808,4948.0,Sakshi,358.0,74.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HpQA4Lm6Kv4,2023-01-22,-0.9880388379096984,3333.0,Sakshi,281.0,21.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
f4jlaltBcZc,2023-01-22,0.9857784509658812,4600.0,Sakshi,159.0,26.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
_d6fFO27ld8,2023-01-22,0.994109869003296,11088.0,Sakshi,532.0,19.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pts7xxEX5yE,2023-02-01,-0.9984890222549438,4906.0,TV9,215.0,9.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aMKpGEe8Fb8,2023-02-02,0.9883737564086914,5968.0,Sakshi,388.0,15.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VXHxSI8oiBE,2023-02-09,0.9870173335075378,12244.0,TV9,269.0,31.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiuS2XhJk0A,2023-02-17,-0.9916757345199584,46299.0,Sakshi,245.0,148.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
47JMKM8SRgI,2023-02-18,-0.9944885969161988,31696.0,TV9,202.0,133.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KUdgDsysF6I,2023-02-18,0.9951053857803344,8262.0,TV9,306.0,10.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uA2SeniluA8,2023-02-21,-0.988624095916748,2110.0,TV9,346.0,21.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mZ-mPqd-c4A,2023-02-21,-0.998511016368866,125389.0,TV9,53.0,748.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yVfQqudjYrE,2023-02-24,0.9549570083618164,1287.0,TV9,54.0,1.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rKGsVcvnPU4,2023-02-24,-0.9990230798721312,11386.0,TV9,173.0,9.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EVlONhzQ2G0,2023-02-27,-0.9905035495758056,15635.0,TV9,270.0,1.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UOIVsQl2OpY,2023-02-27,-0.9954624772071838,4293.0,TV9,253.0,4.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hhCeSH6klXU,2023-02-28,-0.9990874528884888,12033.0,TV9,292.0,50.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
w6o1kErzg6c,2023-02-28,-0.989083170890808,293845.0,TV9,141.0,336.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JqVP1EGKMag,2023-02-28,-0.9846138954162598,40779.0,TV9,251.0,220.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1
e_-MpK0yOLE,2023-02-28,-0.9972580671310424,33549.0,TV9,181.0,253.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
OwIePql8oWM,2023-03-07,0.8404936194419861,2671.0,TV9,293.0,21.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1
eHXaVzca7e8,2023-03-07,0.9918689727783204,1335.0,TV9,295.0,4.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1
GB8dhBdmb3k,2023-03-07,-0.9990130662918092,3050.0,TV9,136.0,7.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uWCZ1Oo8OME,2023-03-08,0.9896200299263,11694.0,Sakshi,166.0,32.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
L_5Da58XxZc,2023-03-08,-0.9828224778175354,10008.0,Sakshi,176.0,14.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
hIuXXXMCwQs,2023-03-08,-0.9928733110427856,76162.0,Sakshi,221.0,249.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
