ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Vidadala Rajini,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,gorantla ,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy
TQh0JvWiBW4,2021-11-10,-0.992255449295044,577.0,Sakshi,206.0,1.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64ZNE6-HL60,2021-11-11,-0.9964966177940368,5529.0,Sakshi,239.0,8.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nwIWELH7QKE,2021-11-12,0.993907392024994,1051.0,Sakshi,478.0,5.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XSwQXs-vRLQ,2021-11-12,0.984052300453186,1485.0,Sakshi,159.0,7.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rH7Spl0NcN4,2021-11-12,0.9935786724090576,2655.0,Sakshi,578.0,4.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6hISus-PzhI,2021-11-12,0.99461030960083,2326.0,Sakshi,183.0,2.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
e3B04PR5hb4,2021-11-23,0.9941847920417786,44476.0,Sakshi,282.0,67.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3Raad8albmo,2021-11-23,-0.9959640502929688,34591.0,Sakshi,108.0,57.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NF2AKK3ZGIU,2021-11-26,0.986659288406372,2846.0,Sakshi,400.0,3.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
xCeZnj-YZv0,2021-11-26,-0.98127543926239,4189.0,Sakshi,433.0,12.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JyGaF4yGums,2021-11-26,0.9987205266952516,3439.0,Sakshi,141.0,7.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
_OY0BG2-dfA,2021-12-10,-0.9994237422943116,2960.0,Sakshi,251.0,2.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
k-SJ8aJBX5Y,2021-12-11,-0.99797123670578,38282.0,Sakshi,386.0,121.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
k0Y-B1s5MaI,2021-12-11,-0.9983516931533812,12596.0,Sakshi,397.0,23.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfMbDHEeCnA,2021-12-11,0.9925342798233032,12093.0,Sakshi,410.0,38.0,puttaparthi.png,Duddukunta Sreedhar Reddy,YSRCP,Puttaparthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
