ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,ap assembly session today,high court,alliance,suprem court,ap development,High Court
4E3Sez19zVI,2023-01-10,-0.9974719882011414,2028.0,TV9,253.0,1.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,1,0,1,0,0,0,1
AG6NPAZzhTA,2023-01-12,0.9957948923110962,3096.0,TV9,425.0,2.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,1,0,0,0,0,0,0
mI3ztikudQo,2023-01-17,0.9985722303390504,892.0,ABN,328.0,0.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,1,0,0,0,0,0,1,1,1,0
dodH_v1EEE4,2023-01-19,0.9924333095550536,1158.0,TV5,330.0,9.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,1,0,0,0,0,0,0,0,0,0,0
G5EBtJ7Pz08,2023-01-19,0.994904398918152,1432.0,Sakshi,546.0,7.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,1,0,0,0,0,0,0
F1WPvdBnkMg,2023-01-26,-0.9910480380058287,2181.0,TV9,325.0,5.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
d2f_Swa4BUg,2023-01-26,0.9758934378623962,1581.0,TV9,330.0,4.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
jBvHWOQkHjo,2023-01-26,0.994629442691803,824.0,TV9,325.0,1.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
-XHXC48HTJ0,2023-01-27,-0.9994431138038636,737.0,ABN,180.0,3.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,1,1,1,0,0,0,0,1,0,0,1,0,0
r9C9aB2oSRs,2023-01-27,-0.9907129406929016,5719.0,TV9,387.0,6.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
HDMvp_kxZQc,2023-01-31,0.9979841709136964,1905.0,TV9,522.0,2.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
de4XkSzr-Q8,2023-02-01,-0.9968990087509156,311.0,ABN,230.0,1.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,1,1,1,0,1,0,1,0,0,0,0,0,0
-xK670mzrsk,2023-02-01,-0.9984266757965088,8154.0,ABN,355.0,4.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,1,1,0,1,0,1,0,0,0,0,0,0
nLQ9AwsTh-s,2023-02-02,-0.9949797987937928,2331.0,TV9,258.0,0.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,1,0,1,0,0,0,0,0,0,0,0,0
0EfSpxJ5uAg,2023-02-02,-0.9979189038276672,1684.0,TV9,550.0,1.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,1,0,0,0,0,0,0,0,0,0
Bamz_7DbYew,2023-02-02,-0.9898424744606018,1649.0,TV9,346.0,2.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,1,0,0,0,0,0,0,0,0,0
A57SA4dSv2I,2023-02-05,-0.9937826991081238,3591.0,TV9,272.0,2.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,1,0,0,0,0,0,0,0,0,0
_GEpeDEj2ww,2023-02-08,-0.9958802461624146,2088.0,TV9,172.0,0.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
IEQEpcVEFXY,2023-02-15,-0.995050847530365,1504.0,TV9,252.0,0.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
iGDZTPjTRx4,2023-02-15,0.9978354573249816,24697.0,TV9,275.0,3.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
SQebQ5rMYdg,2023-02-25,0.9936075210571288,2914.0,TV5,186.0,0.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
0QOVwXto9N0,2023-03-05,0.9985320568084716,3748.0,TV9,217.0,4.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,1,0,0,0,0,0,0,0,0,1,1,1,0
5EjSOFv7x5Y,2023-03-05,0.9987316727638244,1370.0,TV9,213.0,0.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
Tp-tAYY6xeE,2023-03-08,-0.9983736276626588,2118.0,TV9,285.0,1.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,1,0,0,0,0,0,0,1,0,0
