ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,alliance,visakha,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri
Tja7PoKV7go,2023-01-18,-0.9986252784729004,633.0,TV5,235.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na3-yr-j5NY,2023-01-19,0.9966417551040648,222.0,TV9,271.0,0.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ep9TK7d6n6k,2023-01-19,-0.9964079260826112,2481.0,Sakshi,326.0,3.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EuigOckp8OM,2023-01-19,0.9987494945526124,470.0,TV9,263.0,0.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2n7Ev2NAdqY,2023-01-20,-0.9919751286506652,6591.0,ABN,413.0,6.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qi4YO5MJIC4,2023-01-21,0.996687352657318,3801.0,Sakshi,570.0,6.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
M4Wo5KOIwx0,2023-01-23,0.998055338859558,488.0,TV5,40.0,2.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CCDpYgTr8s0,2023-01-23,0.988188862800598,893.0,TV9,235.0,0.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91WVnOrirNE,2023-01-24,0.9973419308662416,178867.0,TV5,593.0,249.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
ARiIDsAno44,2023-01-27,0.9775974154472352,2176.0,TV9,263.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnG7VYz1Ajc,2023-01-27,-0.9965317845344543,3547.0,TV9,204.0,1.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qsNMUq6-Qh0,2023-01-27,0.9955686926841736,2971.0,ABN,109.0,6.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
peFv3wR258g,2023-01-29,0.9985791444778442,1128.0,TV9,208.0,0.0,kuppam.png,N chandrababu naidu,TDP,Kuppam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
