ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,Atchannaidu,alliance,polavaram,visakha
nepx56HLPfY,2023-04-03,0.9950683116912842,4823.0,TV9,320.0,3.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
EBaYPH0GC_Q,2023-04-03,0.9947941899299622,30827.0,TV9,92.0,15.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
mAAaDMh3SXs,2023-04-03,0.9986812472343444,3190.0,Sakshi,194.0,4.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
RE0X2to6C6Q,2023-04-04,-0.9974986910820008,6367.0,TV9,107.0,4.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r9s7-E7W_0g,2023-04-06,0.9961748123168944,862.0,TV9,165.0,5.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
0g45iTlKYJ0,2023-04-12,0.98036789894104,14489.0,TV9,166.0,97.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RwxvqpY8bMg,2023-04-13,-0.9951595664024352,23238.0,Sakshi,302.0,168.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0
lJOqNB3VdZ0,2023-04-13,-0.9988163709640504,641.0,TV9,194.0,1.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
E7M9LzXo-AY,2023-04-13,-0.992816686630249,1332.0,TV5,211.0,2.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1
RZn9jYlJhzM,2023-04-13,-0.9972031116485596,7872.0,ABN,129.0,31.0,palasa.png,Seediri Appalaraju,YSRCP,Palasa,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
