ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ap assembly session today,alliance,polavaram,visakha,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri
wvJvFkIa9Yc,2022-11-30,-0.9963764548301696,558.0,TV9,38.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
D4b08vwIY4Y,2022-12-02,-0.9973888993263244,450.0,ABN,473.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZnyWmOCAK-E,2022-12-02,-0.987252116203308,1270.0,TV9,354.0,2.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZL8_ct7RXVA,2022-12-03,0.9948309063911438,24074.0,ABN,573.0,21.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bzcgOT0eId4,2022-12-04,-0.9929113984107972,673.0,ABN,280.0,4.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_zkBGUGMO34,2022-12-06,-0.9988619089126588,6004.0,ABN,517.0,5.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EK7qJ9XzQ8U,2022-12-06,-0.994577169418335,1156.0,ABN,505.0,1.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dcXrQVuXa5s,2022-12-07,-0.9987853169441224,5106.0,ABN,395.0,10.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbqF9Y5eVc4,2022-12-08,-0.9976592063903807,5880.0,TV5,165.0,8.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tOmcaGgiP9k,2022-12-08,-0.9988301396369934,3169.0,TV5,350.0,6.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UiAGmXk3lNk,2022-12-08,-0.9991217255592346,3410.0,ABN,420.0,6.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MnWaueq6S1c,2022-12-12,0.9982479810714722,2332.0,TV9,234.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1
RWNjXTc3BAs,2022-12-15,-0.9959920048713684,13635.0,ABN,290.0,17.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
eNpTR8AG_9c,2022-12-16,-0.9948822259902954,664.0,TV5,443.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6cfybgowqpA,2022-12-30,0.9927687644958496,16752.0,ABN,555.0,15.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GoxHbyHNig,2022-12-30,-0.9994837045669556,7412.0,ABN,249.0,5.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
jBK1292RiVs,2022-12-30,0.9862619042396544,1425.0,ABN,207.0,3.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
l3ghu_53UaM,2022-12-31,-0.9908874034881592,717.0,ABN,335.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
R37st8s7DpQ,2023-01-02,-0.997772753238678,2695.0,TV9,514.0,1.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_H44NHwCf1U,2023-01-02,-0.9909194707870485,13890.0,TV9,297.0,6.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d4xTbmxu4Ik,2023-01-03,-0.996385931968689,7499.0,TV5,259.0,14.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_gUzKg52mw,2023-01-05,0.9793018102645874,3587.0,ABN,280.0,9.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fYHBV-GKS5k,2023-01-05,-0.9988000392913818,8045.0,ABN,445.0,9.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQdtAr6L95g,2023-01-05,0.9951550960540771,9485.0,ABN,480.0,17.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P6EFNSn8-eU,2023-01-05,0.9852147698402404,2292.0,ABN,285.0,1.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
b3LduIZ97Cg,2023-01-06,0.9918639659881592,1754.0,TV9,71.0,2.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
