ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,ap assembly session today,alliance,roja,yuvashakti,suprem court,ap development,tadipatri
A3KJJzEnK-w,2023-01-13,0.9983983635902404,4499.0,TV9,300.0,24.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,1,0,0,1,0,0,0,0,0,0,0
yygSk1Bb5zI,2023-01-14,-0.9862701296806335,1892.0,TV9,413.0,9.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gKglJIjj6VE,2023-01-14,-0.9994511008262634,8097.0,ABN,285.0,18.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,1,0,1,0,1
QfSdSZYbbGY,2023-01-14,-0.9925518035888672,55697.0,ABN,365.0,36.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6ZOsiF7JMSI,2023-01-18,-0.998644769191742,621.0,ABN,255.0,2.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,1,1,1,1,0,1,0,0,0,0,0,0,0
r3h2c0vhOmU,2023-01-18,-0.9993894100189208,1428.0,ABN,533.0,0.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3vTgdje1uMw,2023-01-19,-0.999306321144104,577.0,ABN,390.0,1.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jENqailc74k,2023-01-20,-0.9984622001647948,2659.0,Sakshi,170.0,9.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,1,1,0,1,0,0,0,0,1,1,1,0
VaE-bkMmyYI,2023-01-27,-0.616478681564331,23139.0,ABN,340.0,27.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,1,1,1,1,1,0,0,1,0,1,1,1,0,1
03Y5uuAd2vg,2023-02-03,0.9974898099899292,1406.0,ABN,235.0,0.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
