ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,Ramoji Rao,ap employees,ap assembly session today,high court,alliance,Peddireddy ,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy
UPHXjjVG_Ng,2022-08-07,0.997027575969696,4578.0,Sakshi,237.0,11.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
_xYlu2pfPQ0,2022-08-12,0.998791515827179,46437.0,Sakshi,376.0,70.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BXdRYF5wDmY,2022-08-18,-0.9777712821960448,267841.0,Sakshi,516.0,504.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G6OoZKU3Qy8,2022-08-23,-0.9973487854003906,38337.0,Sakshi,415.0,89.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3PhNbnzVXss,2022-08-24,-0.9974263310432434,2611.0,TV5,215.0,9.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zzIGymDuvrk,2022-08-30,-0.9889609217643738,15619.0,Sakshi,585.0,16.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4EwpmoAw7pU,2022-08-31,0.9890843033790588,86392.0,TV5,413.0,126.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iD1NyZMAeX8,2022-09-01,0.992536187171936,1683.0,TV5,335.0,1.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
gw8XDlJPujw,2022-09-02,0.9985161423683168,9390.0,Sakshi,363.0,23.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdFGJh1Mqug,2022-09-02,0.9984367489814758,2180.0,Sakshi,123.0,2.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0yhHMaiRjqg,2022-09-02,0.9947932362556458,1986.0,TV5,310.0,0.0,kakinada_city.png,Dwarampudi Chandrasekhar Reddy,YSRCP,Kakinada_city,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
