ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,nara lokesh,AP ,yuvagalam,amaravati,tdp pattabhi,ap employees,ap assembly session today,alliance,Peddireddy ,visakha
43chL99_T50,2022-10-05,0.9986382126808168,1870.0,Sakshi,457.0,1.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
qwev0EgOHE8,2022-10-06,-0.9962674975395204,4451.0,Sakshi,184.0,5.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
_LUVZ61yfHU,2022-10-07,0.9970095157623292,408.0,TV5,215.0,1.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
EB67n2-Xn98,2022-10-09,-0.9952195286750792,118113.0,TV5,164.0,165.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
r31SQy24dOc,2022-10-11,-0.9981312155723572,2560.0,TV5,329.0,3.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NO1u8KVFPto,2022-10-15,-0.9895400404930116,1451.0,TV5,251.0,3.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LSytnAIyIbc,2022-10-16,-0.9974263310432434,5026.0,Sakshi,445.0,11.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
By89ti9-gvo,2022-10-20,0.99324631690979,1488.0,ABN,550.0,2.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_Em7YJgETzE,2022-10-21,0.9775640368461608,56664.0,TV5,369.0,78.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
eJN-MpC31Og,2022-10-21,0.9881028532981871,670.0,ABN,236.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
