ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,alliance,Peddireddy ,polavaram,visakha,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
mm9F_KALl48,2022-12-29,-0.9941686391830444,11335.0,TV5,315.0,11.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
rPVchd2hb3E,2022-12-29,-0.9929364323616028,2372.0,TV5,284.0,11.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
zdhcJxAnRUA,2023-01-02,-0.9990907907485962,2442.0,TV9,298.0,9.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0I_WkskXb-A,2023-01-02,-0.9866118431091307,1054.0,ABN,327.0,11.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1iy4z3yoDKE,2023-01-02,-0.9968032836914062,2187.0,TV9,276.0,5.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0X3f-JTxC4,2023-01-02,-0.9772555232048036,820.0,ABN,247.0,10.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s-VIUnzQ7yA,2023-01-02,-0.9944438338279724,1366.0,ABN,179.0,2.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NgAJBrHaouo,2023-01-02,0.9967485666275024,740.0,ABN,208.0,3.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
q1XexlNseas,2023-01-02,0.9930778741836548,935.0,ABN,208.0,6.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fhjsAapg_QU,2023-01-02,0.9984875917434692,6356.0,ABN,291.0,27.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
UPMG58kBwJQ,2023-01-02,0.9922056794166564,1292.0,TV9,192.0,3.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4IvrAzYMDc,2023-01-02,0.9975700974464417,438.0,ABN,218.0,3.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShAEr08l35k,2023-01-02,-0.990397572517395,2741.0,TV9,199.0,12.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51gy8UFWcY,2023-01-02,-0.8512880802154541,1133.0,ABN,356.0,15.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pt8ZUxo2zoM,2023-01-02,-0.9954634308815002,2017.0,TV9,264.0,3.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ynvpiDlz88,2023-01-02,-0.989741325378418,1206.0,TV9,342.0,0.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AMTc8lskNmI,2023-01-02,0.989470601081848,1626.0,TV9,184.0,10.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y1YcrnKGFhs,2023-01-02,-0.9854544401168824,16233.0,TV9,241.0,87.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
fvk6Gy92jZs,2023-01-02,0.998484194278717,2736.0,TV9,257.0,10.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
q3344webGdM,2023-01-02,0.989170491695404,3866.0,TV9,275.0,7.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
zTBjDxW-A50,2023-01-02,-0.9982884526252748,1176.0,ABN,179.0,4.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nleQGvBQ4QQ,2023-01-02,0.9964403510093688,2523.0,TV9,237.0,8.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l8x4q8CWKOk,2023-01-02,-0.9952334761619568,3046.0,TV9,201.0,9.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
JZh5LWZtWHE,2023-01-02,0.9805337190628052,1311.0,ABN,389.0,5.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RqEUSeCtvbI,2023-01-02,0.9963829517364502,1741.0,TV9,268.0,2.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0
CXmNjSHtAn8,2023-01-03,0.9976958632469176,1587.0,TV9,64.0,1.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
_YNC4XrO73A,2023-01-03,0.9972840547561646,1082.0,TV9,286.0,5.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bDh3xGUEQzY,2023-01-04,-0.9980677962303162,1204.0,TV9,84.0,0.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51h6OAMXMLg,2023-01-05,-0.9858513474464417,3213.0,TV9,164.0,4.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fD4k90JvHAY,2023-01-09,0.9987741112709044,5994.0,Sakshi,352.0,16.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
