ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,alliance,yuvashakti,suprem court,ap development
bRmcGr7K-ps,2023-02-17,-0.998196303844452,1286.0,ABN,308.0,2.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,1,0,1,0,0,0,0,0
r2j5QSbX-FA,2023-02-17,-0.9981274008750916,315.0,ABN,372.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
3h5Ok3ZjTjg,2023-02-17,-0.9861739873886108,670.0,ABN,312.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,0,0,1,0,1,0,0,0,0,0
tG7Q1QhSIlg,2023-02-17,0.9981330037117004,2410.0,TV9,410.0,18.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,1,0,0,0,0,0
ISKMBQyemzE,2023-02-17,-0.9943420886993408,657.0,ABN,250.0,2.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,0,0,1,0,1,0,0,1,0,0
kuTt7TA3gAI,2023-02-17,0.9799137115478516,776.0,ABN,235.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,0,0,0,0,1,0,0,0,0,0
BHzZZZKRxdU,2023-02-17,0.9948107004165648,858.0,ABN,295.0,2.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
iBkni_jJ-38,2023-02-20,0.9960032105445862,8776.0,Sakshi,181.0,22.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,1,1,0,0,1,1,1,1
By89zYwkjRA,2023-02-20,0.996969997882843,844.0,TV9,222.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,0,0,0,0,0,1,0,0
OPYKZSqf2cc,2023-02-20,0.9985623955726624,2999.0,TV9,154.0,1.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,0,0,1,0,0,1,1,0,0
qpa8n4kVTSw,2023-02-21,-0.992486834526062,756.0,TV9,269.0,4.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,0,0,0,0,0,0,1,0
fqXnvfqBogI,2023-02-27,-0.9979336261749268,3052.0,TV5,95.0,4.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,1,1,1,0,1,0,0,1,0,0
jOdCbgStPgs,2023-03-06,-0.9993473887443542,1125.0,TV9,263.0,5.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
bF1OYhPXE94,2023-03-06,-0.9971714615821838,2031.0,ABN,179.0,23.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,0,0,0,0,0,0,0,0,0,0
2Wrwl-9d854,2023-03-06,-0.9846479892730712,1378.0,ABN,116.0,13.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,0,0,1,0,1,1,1,1
ScbjBReBU4Q,2023-03-23,0.99628084897995,743.0,TV9,301.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,1
A5gALUcAvy0,2023-03-23,-0.9975242018699646,7374.0,ABN,305.0,6.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
Q-cKdLlPKlk,2023-04-10,-0.9983330368995668,6657.0,TV9,324.0,13.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,1,0,0,0
L8axol-JkhE,2023-04-11,-0.999302864074707,1693.0,TV5,116.0,4.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,1,1,0,1,0,0,0,1,1,0
bHkQGXF-MnI,2023-04-11,0.9188220500946044,5728.0,TV5,116.0,6.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,0,0,0,1,0,0,0,0
tx6SyVsC1Eg,2023-04-14,0.9969066977500916,1083.0,TV5,340.0,4.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
mW8vLKKhRrM,2023-04-22,0.988421618938446,7564.0,TV5,130.0,21.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,0,0,0,0,0,0,0,0
g-rlfPot9M8,2023-04-22,0.9974339604377748,15557.0,TV5,245.0,10.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
