ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,alliance,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
umAJ2w5ik_M,2023-03-08,-0.998613715171814,1237.0,TV9,331.0,3.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IWdAwAJOnlI,2023-03-11,-0.9978123903274536,674.0,TV9,62.0,0.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDFSpVpi_WQ,2023-03-11,-0.9722909331321716,5237.0,Sakshi,261.0,12.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,1,1,0,0,1,0,0,0,0,0,0,0,0
OwbDzkSshCE,2023-03-13,-0.9952746629714966,3220.0,ABN,121.0,1.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0bTxyNghvLk,2023-03-13,0.9982883334159852,5028.0,TV9,264.0,8.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Je5eh5zFnIs,2023-03-13,-0.9993854761123656,664.0,TV9,260.0,3.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,0,0,0,0,0,0,0,0,1,1,0,1
2tYK25DIm98,2023-03-13,0.9987033605575562,651.0,TV9,264.0,1.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1-Zml63JxYw,2023-03-13,-0.9952127933502196,1294.0,TV9,265.0,7.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,1,0,0,0,0,0,0,0,0,0,0,1
QDMSrxeaSrA,2023-03-14,0.9959235191345216,4257.0,TV9,203.0,5.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,1,1,1,0,0,1,1,1,1,1,0,1,0
bVi8PqdJK1w,2023-03-15,0.9873513579368592,5110.0,TV9,308.0,6.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,1,0,0,1,1,0,1,0,1,1,1
J__wHAB3ZUo,2023-03-15,-0.993598222732544,789.0,ABN,307.0,0.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KepV5Vvk5qQ,2023-03-15,-0.9972109198570251,5773.0,TV9,355.0,11.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,0,0,0,1,1,1,0,0,0,0,0,0
vpjJbZ46MQI,2023-03-15,-0.9991965889930724,5948.0,TV9,263.0,12.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,1,0,0
haKxWFV_ctY,2023-03-20,-0.9948614239692688,1011.0,ABN,335.0,1.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,1,1,0,0,1,0,1,0,0,0,0,1,0
WsFfp4I4ODk,2023-03-20,-0.9985173344612122,1872.0,TV9,261.0,3.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5JfY7owYgCw,2023-03-26,-0.9992051720619202,8424.0,TV5,254.0,25.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,1,1,1,0,0,0,0,0,0,0,0,0,0
XpcoMd9dSCw,2023-03-29,0.9976046085357666,2514.0,TV9,270.0,14.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JpLC2FnQJiM,2023-04-12,-0.8539758920669556,2165.0,TV9,270.0,6.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,1,1,0,0,0,1,0,0,0,0,0,1,0
sv_HBqqGwj8,2023-04-12,-0.9986390471458436,2288.0,TV9,352.0,9.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OuQmra4bh8,2023-04-18,-0.9934294819831848,705.0,TV9,251.0,2.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNihNBCyMEg,2023-04-18,-0.9994770884513856,1882.0,TV9,226.0,13.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
