ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ap assembly session today,visakha,Kakani,kotamreddy ,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
bVLK8obf1FY,2022-12-16,-0.9952268600463868,5657.0,Sakshi,525.0,28.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C4UWwggZFcY,2022-12-18,0.9901776909828186,26016.0,Sakshi,597.0,73.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yp4rSqv7TTE,2022-12-21,0.9983189702033995,2280.0,Sakshi,454.0,2.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mFt9TaI8kPk,2022-12-23,-0.9968904852867126,27652.0,ABN,410.0,35.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vfmPUsXOtWo,2022-12-24,-0.9994389414787292,1014.0,TV9,273.0,1.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
dckSLIxnFHE,2022-12-27,0.9869326949119568,22564.0,Sakshi,481.0,73.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JseAvZUEVng,2022-12-29,-0.9935855269432068,2198.0,Sakshi,341.0,5.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CG1bCuLFdbQ,2022-12-29,-0.9982550740242004,1367.0,Sakshi,139.0,9.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
em_X_Dccamw,2022-12-29,-0.9992954730987548,1452.0,TV9,265.0,1.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
X05_vOZBkcg,2022-12-31,-0.99827241897583,48225.0,Sakshi,220.0,207.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
jgjXnWj-Pro,2022-12-31,0.9929948449134828,35968.0,Sakshi,518.0,176.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
waoFraT_0po,2022-12-31,0.9988299012184144,1842.0,Sakshi,335.0,5.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
3tlsg3KHJ6s,2023-01-03,-0.9981096982955932,2692.0,Sakshi,545.0,6.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0
TGF0abHdnfo,2023-01-03,-0.997962474822998,1902.0,TV9,59.0,2.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nILIm4p_Nz0,2023-01-03,-0.9951398372650146,1044.0,ABN,290.0,1.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
LwuApqx9qzw,2023-01-06,-0.9990059733390808,3638.0,TV9,192.0,7.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b-QfkKfcZs,2023-01-06,0.9924129843711852,2287.0,TV9,569.0,0.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7Q45zNTtwcE,2023-01-06,-0.999250590801239,2255.0,TV9,194.0,5.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FqD87JvTLtM,2023-01-07,-0.9969769716262816,1326.0,Sakshi,232.0,2.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
xK-bEIYM_RE,2023-01-11,0.9951247572898864,1333.0,Sakshi,301.0,6.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BzyNmDC2yV8,2023-01-13,0.9964917302131652,16602.0,TV9,300.0,117.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
evPYKW2kyRA,2023-01-15,0.9989153146743774,6406.0,TV9,173.0,15.0,vemuru.png,Merugu Nagarjuna,YSRCP,Vemuru,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
