ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,visakha,roja,srikakulam,yuvashakti,suprem court,ap development,tadipatri
wJyEvwiNXLE,2023-02-13,-0.9910474419593812,3052.0,Sakshi,329.0,3.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bkPm_Cz9xCc,2023-02-13,-0.9979324340820312,2851.0,Sakshi,188.0,2.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1
55jlLE_feGg,2023-02-19,0.9980478286743164,1544.0,TV9,197.0,0.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
C6tuK1m7AyM,2023-02-24,0.9822686910629272,18086.0,TV9,256.0,12.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2wIEhGCPwg,2023-02-24,0.9343740940093994,8844.0,TV9,249.0,15.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
E-6gfRoGb5s,2023-02-24,-0.9900879263877868,1756.0,TV9,230.0,3.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
AHLuO40Tanw,2023-03-02,-0.9984551668167114,6929.0,TV9,261.0,3.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
u6r0CXvQ890,2023-03-03,-0.9911220073699952,116687.0,ABN,279.0,120.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X0qh_IxT0ME,2023-03-07,-0.999404788017273,12411.0,Sakshi,326.0,19.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
pETKe73xT3o,2023-03-24,-0.9948253631591796,1156.0,TV9,328.0,0.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
hcItVdPLIhs,2023-04-01,0.9810309410095216,34184.0,Sakshi,234.0,40.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
pnPqLY9Pl7Q,2023-04-05,-0.99433833360672,3967.0,TV9,183.0,2.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R08fR6NPCUs,2023-04-21,-0.9942355751991272,1230.0,TV9,171.0,0.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fOnLqasIneE,2023-04-21,-0.9875952005386353,1899.0,TV9,289.0,7.0,srikakulam.png,Dharmana Prasada Rao,YSRCP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
