ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ambati rambabu,Gadapa Gadapaku ,ap employees,ap assembly session today,alliance,polavaram,visakha,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,ap development,tadipatri,nandigama
dPUkksrUNDg,2022-10-14,-0.9963974356651306,2582.0,Sakshi,144.0,54.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
EvFq8mBUzCA,2022-10-14,0.9982091188430786,87023.0,Sakshi,335.0,125.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PuCWJJXNiAw,2022-10-21,-0.998001992702484,1508.0,ABN,567.0,4.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2MsfaeXazKg,2022-10-21,0.998427391052246,551336.0,Sakshi,373.0,809.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uMJHi7vo560,2022-10-25,0.9958714842796326,75400.0,Sakshi,437.0,68.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jO-QPpHea4M,2022-11-05,-0.9941667318344116,2744.0,Sakshi,408.0,12.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pIC_X4Gvjbw,2022-11-06,-0.99822336435318,22036.0,Sakshi,523.0,127.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5oLfFAMRXk,2022-11-08,0.9790219664573668,43907.0,Sakshi,229.0,85.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UmQrvR69Br4,2022-11-08,0.9975268244743348,2101.0,Sakshi,237.0,7.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
nd0vA0U_Qok,2022-11-13,0.9932039976119996,1804.0,Sakshi,519.0,1.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i4KNuI0OhN4,2022-11-14,-0.9978370070457458,1342.0,Sakshi,360.0,1.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7nqitmbRCWw,2022-11-14,0.9985219836235046,5791.0,TV5,210.0,11.0,srikalahasti.png,Biyyapu Madhusudhan Reddy,YSRCP,Srikalahasti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
