ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,janasena party,alliance,polavaram,visakha,yuvashakti,suprem court,ap development,tadipatri,nandigama
XDcQ9h7qh74,2023-03-05,-0.9977826476097108,2418.0,TV9,319.0,4.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NYjf6PmQ4C8,2023-03-05,-0.9993557333946228,2970.0,TV5,147.0,9.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
6pzoFLDlFao,2023-03-05,-0.9974254965782166,1354.0,ABN,97.0,7.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ZFKhNauptak,2023-03-05,-0.9958059787750244,14804.0,TV9,159.0,43.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hhF0XnXg9r8,2023-03-08,0.9937711358070374,2094.0,TV9,327.0,37.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
O2wcdVoB_F8,2023-03-11,-0.999247670173645,62993.0,TV9,228.0,3.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pCoPIzDeY6I,2023-03-12,-0.9948033690452576,6984.0,TV9,218.0,23.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
fCNzNHOhtd0,2023-03-12,0.9961806535720824,886.0,ABN,271.0,1.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
pmUsOFgJsws,2023-03-12,-0.9994553923606871,43125.0,TV9,222.0,161.0,monohar.png,Nadendla Manohar,JSP,,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0
sehuUZH3uvk,2023-03-12,0.9903734922409058,2531.0,TV9,202.0,4.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0
gxPd2QLiMU0,2023-03-12,0.9979615211486816,1639.0,TV9,199.0,5.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
3BiihCe76AY,2023-03-13,0.9987107515335084,984.0,TV9,81.0,2.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GK-4EvDnQV4,2023-03-14,0.995725154876709,1752.0,TV9,347.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0
n_qFapd2I1o,2023-03-18,-0.9981333613395692,10566.0,TV9,238.0,26.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9YijRYJuEUY,2023-04-04,-0.9894397854804992,4408.0,TV9,199.0,17.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0
qD0eG7yhMSc,2023-04-04,0.9978413581848145,357379.0,TV5,184.0,899.0,monohar.png,Nadendla Manohar,JSP,,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0
smIJzYu1Bqc,2023-04-05,0.9987956285476683,1612.0,TV5,255.0,8.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ODOaOO9ASK4,2023-04-05,0.9971418976783752,1874.0,TV5,115.0,10.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
BI5x1isdDjU,2023-04-05,-0.997413694858551,4655.0,TV9,243.0,35.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
unYLNN04Hks,2023-04-06,-0.9984410405158995,1440.0,TV9,245.0,3.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0
SWTjpgpz_DM,2023-04-09,-0.9950462579727172,8798.0,TV9,219.0,11.0,monohar.png,Nadendla Manohar,JSP,,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0
