ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Gadapa Gadapaku ,Kuppam,janasena party,Ramoji Rao,ap employees,ap assembly session today,jr ntr,Atchannaidu,alliance,Peddireddy ,vangalapudi anitha,polavaram,visakha,vijayasai reddy,lakshmi parvathi,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,ys vijayamma,Pension,vangaveeti radha,suprem court,ap development,balineni srinivasa reddy,tadipatri,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama
YpJsKaL3isw,2022-04-11,0.9987841248512268,65405.0,Sakshi,216.0,32.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
cAd5qVDssi8,2022-04-14,0.9978256821632384,68346.0,Sakshi,238.0,157.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
NJKe8tVl-w8,2022-04-18,0.9916988611221312,27811.0,Sakshi,582.0,25.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e7M7Tp9NH3I,2022-04-22,-0.998412013053894,37391.0,Sakshi,106.0,108.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d5dz-5tRy4o,2022-04-23,-0.9959511756896972,9366.0,Sakshi,539.0,47.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZV7vt_vQG3U,2022-04-23,-0.9960011839866638,19566.0,Sakshi,308.0,97.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
m8pdR7wM_7I,2022-04-23,0.9959718585014344,26221.0,Sakshi,357.0,97.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ez-CbcZnDdc,2022-04-27,-0.9986442923545836,3705.0,Sakshi,122.0,3.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8rvlBzhN0A0,2022-05-06,0.9771048426628112,75938.0,Sakshi,237.0,137.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
eCQXIdDCB0c,2022-05-07,0.9926007390022278,8446.0,Sakshi,514.0,7.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xx13CsuKLhc,2022-05-10,-0.9988635778427124,82972.0,Sakshi,312.0,282.0,palakonda.png,Viswasarayi Kalavathi,YSRCP,Palakonda,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
