ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Gadapa Gadapaku ,janasena party,tdp pattabhi,ap employees,Vidadala Rajini,ap assembly session today,Atchannaidu,high court,alliance,vangalapudi anitha,polavaram,visakha, vidadala ,roja,nellore ,srikakulam,yuvashakti,tadepalli,Pension,suprem court,ap development,tadipatri,varahi ,nellore mekapati,nandigama,High Court
wnvTA5tRw4o,2022-04-22,0.995287299156189,131189.0,Sakshi,262.0,100.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QT1gUVuq_RQ,2022-05-06,-0.9962128400802612,45035.0,Sakshi,377.0,158.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FmMmfSc8KE4,2022-05-10,-0.9993543028831482,204810.0,Sakshi,235.0,494.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i_Q-b7kC3cU,2022-05-11,0.9970539808273317,12818.0,Sakshi,140.0,18.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
n2Yynydf1H8,2022-05-17,0.9975357055664062,4011.0,Sakshi,199.0,18.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AStFh8MgDUE,2022-05-20,-0.997041404247284,33211.0,Sakshi,85.0,45.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upgKlnqVRbs,2022-05-21,0.99733304977417,29199.0,Sakshi,377.0,27.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T8zMuVcyIRY,2022-05-27,-0.9857694506645204,138351.0,Sakshi,275.0,233.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
pZ1J8srKMWw,2022-06-02,-0.9962478280067444,90857.0,Sakshi,493.0,108.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CIvNBXNJKYc,2022-06-06,0.99765282869339,113104.0,Sakshi,119.0,391.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
