ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,chandrababu,pawan kalyan,AP ,yuvagalam,janasena party,alliance,polavaram
yVQhE50QW2A,2023-01-18,-0.9962636828422546,3903.0,TV9,207.0,4.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,1,0,0,0,0,0,0,0
vs1IFbSek34,2023-01-18,0.9414265751838684,5142.0,TV9,296.0,3.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
4-CqkiVl0J8,2023-01-21,0.9977317452430724,2710.0,TV5,224.0,1.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
ygYmIPJCevw,2023-01-21,0.9978658556938172,80135.0,TV9,491.0,51.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,1,0
zzSqj-mZPgg,2023-01-23,-0.9987040758132936,15697.0,TV9,302.0,68.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
sa74GHO_4kI,2023-01-23,-0.9976997971534728,4114.0,TV9,267.0,21.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
qy_zJxzmxpo,2023-01-23,0.9953263998031616,3100.0,TV9,257.0,6.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
BOsBi2AUz70,2023-01-23,0.9957960844039916,4754.0,TV9,244.0,12.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
tDj91oVq4w4,2023-01-23,-0.9994490742683412,6055.0,TV9,433.0,18.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,1,0,0,0,0,0,0,0
JetUQEuzaXs,2023-01-30,-0.9947119951248168,3320.0,TV9,219.0,3.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
9Ek_71PZLSw,2023-02-01,0.998565137386322,8576.0,TV9,290.0,14.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
Y6UqOVUp3J8,2023-02-02,-0.9972713589668274,14057.0,TV9,229.0,22.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
ZBY_ApCqWOM,2023-02-07,-0.987381875514984,2341.0,TV5,425.0,6.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,1,0,0,0,0,0,0,0
VynMURupuMQ,2023-02-14,-0.9909674525260924,2704.0,ABN,195.0,17.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
YnhAYszCG5c,2023-02-14,0.9934843182563782,9223.0,TV9,262.0,29.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
wuOREG-csu8,2023-02-14,-0.9991613626480104,3384.0,ABN,275.0,18.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
xID4Cep_XlE,2023-02-14,-0.99092835187912,826.0,ABN,250.0,6.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
ruQ5qHwWOSQ,2023-02-14,-0.9964122176170348,3143.0,ABN,230.0,9.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
DZ38ejgQ6zs,2023-02-14,-0.9979933500289916,1042.0,TV9,337.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,1,0
dVqhkVGxIZA,2023-02-14,0.9754353165626526,2576.0,ABN,210.0,10.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
PgYE5ZP6PxE,2023-02-15,-0.8074029088020325,2726.0,TV9,241.0,3.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
mdb-ptFiz9U,2023-02-15,-0.9896475672721864,20469.0,TV9,370.0,60.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
embiIKRbFwY,2023-02-15,-0.9994843006134032,12949.0,TV9,386.0,29.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,1,1,0,0,0,1,0,0,0,0
SI-yUvi5LL8,2023-02-15,0.9884257316589355,11173.0,TV9,204.0,30.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
ZcKfcU6BRlw,2023-02-16,-0.9992890357971193,81605.0,ABN,370.0,109.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,1,0,0,0,0,0,0
uLUoGNrcNlo,2023-02-17,-0.9953280687332152,1418.0,ABN,420.0,0.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,1,0,0,0,0,0,0
L2HICMeNGD4,2023-02-18,-0.997037410736084,8530.0,TV9,299.0,48.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
KUdgDsysF6I,2023-02-18,0.9951053857803344,8262.0,TV9,306.0,10.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,1,0,0,0,0
47JMKM8SRgI,2023-02-18,-0.9944885969161988,31696.0,TV9,202.0,133.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
Wz7was1VZWY,2023-02-18,-0.8673511147499084,26541.0,TV9,363.0,86.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,0,0,0,0,0,0,0,0,0
BL3dDfZjSIc,2023-02-23,-0.9966806769371032,9908.0,TV9,274.0,14.0,Telakapalli_Ravi.png,Telakapalli Ravi,MEDIA,,0,0,1,0,0,0,1,1,0,0,1
