ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,raghurama ,AP ,yuvagalam,ambati rambabu,ap employees,ap assembly session today,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri
D04lbgACNRs,2022-12-17,-0.9843287467956544,3732.0,TV9,105.0,0.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-d_qwBi1xc,2022-12-17,-0.9951580166816713,18980.0,TV9,224.0,5.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bu5uiCTi4Sw,2022-12-17,-0.998117208480835,13360.0,TV9,229.0,7.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1
b2e5u38g2v8,2022-12-17,-0.9981825351715088,1108.0,ABN,195.0,1.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
q6JB6SF42pE,2022-12-17,-0.9943751096725464,2648.0,TV9,45.0,3.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Y7I_5e-qt00,2022-12-17,-0.9975298047065736,2844.0,ABN,165.0,5.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ikxtETxjKUQ,2022-12-17,-0.9985724687576294,3401.0,TV9,179.0,1.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r4pRUNHey7g,2022-12-18,-0.9793079495429992,13459.0,TV9,386.0,4.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yr3OSQSlpv4,2022-12-18,-0.998304843902588,4007.0,TV9,355.0,1.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1
_d_yJx65ZVY,2022-12-19,-0.996485948562622,15379.0,Sakshi,468.0,33.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x8e0JiiDbLM,2022-12-19,-0.9872885942459106,22507.0,ABN,505.0,70.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
UutukLzes-s,2022-12-19,-0.999147653579712,1928.0,ABN,325.0,2.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
g3PEVEIQdR4,2022-12-23,-0.9993652701377868,33760.0,ABN,235.0,35.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
MPP9bYr64Gk,2022-12-27,0.9971497654914856,1522.0,Sakshi,408.0,0.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wml-uep5BxI,2022-12-28,0.9146674275398254,1915.0,ABN,315.0,3.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60WBttV5aoA,2022-12-28,-0.9964839220046996,1206.0,TV9,242.0,1.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rVUDJN-lajQ,2022-12-28,-0.9673227071762084,3321.0,Sakshi,262.0,5.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3MluS6c14x8,2022-12-29,-0.9993661046028136,2373.0,Sakshi,202.0,11.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7EnizhXBcSY,2022-12-31,-0.9990692734718324,1428.0,TV9,240.0,7.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
b2seDfYiBA0,2022-12-31,-0.996103048324585,920.0,TV9,265.0,1.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5cm4eCZLJmI,2022-12-31,-0.9983314871788024,1662.0,TV9,279.0,13.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zmKHbOUOi0Q,2022-12-31,0.995780348777771,2712.0,ABN,580.0,4.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PeTPZuuE--I,2022-12-31,-0.9984595775604248,963.0,ABN,270.0,0.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
dd23WC9qMUo,2022-12-31,-0.9994168281555176,2213.0,ABN,240.0,2.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
DG1feNfvsHA,2022-12-31,-0.9964473843574524,452.0,ABN,315.0,5.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
eoOxUUc38wI,2022-12-31,-0.9970071911811828,9414.0,ABN,360.0,22.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
q9x03QgvFQM,2023-01-03,-0.995667576789856,1123.0,ABN,89.0,3.0,macherala.png,Ramakrishna Reddy Pinnelli,YSRCP,Macherla,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
