ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Kuppam,janasena party,Ramoji Rao,ap employees,ap assembly session today,Atchannaidu,high court,alliance,vizag steel plant,polavaram,visakha,byreddy siddharth reddy,Kakani,privatization,kotamreddy ,Preethi,roja,nellore ,Machilipatnam,srikakulam,yuvashakti,tadepalli,megastar chiranjeevi,Pension,suprem court,perni nani ,ap development,tadipatri,gudivada ,Kodali Nani ,varahi ,nellore mekapati,nandigama,High Court
gzbOnL-9YiA,2021-12-28,-0.9984306693077089,12368.0,Sakshi,308.0,36.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
e3r7gcaMcgg,2021-12-30,-0.9920414090156556,17018.0,Sakshi,160.0,37.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5WVjxRMbI9U,2021-12-31,0.991348922252655,10963.0,Sakshi,366.0,36.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y_5eHND0FtM,2022-01-05,-0.997403919696808,13584.0,Sakshi,81.0,84.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
zCHU6rhQKGc,2022-01-10,-0.9900150299072266,77106.0,Sakshi,268.0,87.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ZMPa8e4_OUE,2022-01-10,-0.9768381118774414,49409.0,Sakshi,43.0,39.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
Bs_amQnpbbk,2022-01-20,0.9934733510017396,27365.0,Sakshi,222.0,59.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HooXMEPWFus,2022-01-20,0.97270929813385,6362.0,Sakshi,352.0,51.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bzKFuQnQboo,2022-01-21,-0.9988560676574708,7998.0,Sakshi,94.0,33.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0
rT-6UNgaBmQ,2022-01-21,0.989818513393402,56819.0,Sakshi,114.0,126.0,machillipatnam.png,perni Nani,YSRCP,Machillipatnam,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
