ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ap employees,Sajjala ,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
7nqitmbRCWw,2022-11-14,0.9985219836235046,5791.0,TV5,210.0,11.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
YwhPL8yYXbk,2022-11-16,-0.9941664934158324,14404.0,ABN,300.0,44.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
_1Zy0NxkERc,2022-11-16,-0.994210124015808,3902.0,ABN,280.0,2.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
vCtV2q9zm4Y,2022-11-18,0.9861515164375304,72543.0,Sakshi,336.0,99.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FXNudxPq3NE,2022-11-21,0.9874569773674012,1472.0,Sakshi,495.0,8.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
q8JKa6Cm_Qg,2022-11-21,-0.9931427240371704,2593.0,TV9,196.0,5.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
t_gr00FgDkY,2022-11-22,-0.9968881011009216,3667.0,TV9,217.0,5.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cd7hpke9w6Y,2022-11-22,-0.9982261061668396,3048.0,ABN,465.0,5.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
3zc1DnED39w,2022-11-23,-0.9990617632865906,636.0,ABN,145.0,1.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
PHc2CRW-z-0,2022-11-23,-0.9971612691879272,28650.0,ABN,240.0,74.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
VVF5kVBMwAA,2022-11-23,0.9859727621078492,4524.0,TV9,529.0,5.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OIRym4c-_Bc,2022-11-27,-0.9971941709518432,2690.0,ABN,394.0,15.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j87ETFjr_6c,2022-11-30,0.9921818971633912,6863.0,Sakshi,436.0,8.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ExgOdF6D_DA,2022-11-30,0.9963871240615844,14247.0,TV5,579.0,62.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ji3iu8rVYBk,2022-12-03,-0.9986972212791444,2023.0,TV9,314.0,1.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c3uC430EtJA,2022-12-08,0.9913500547409058,3656.0,TV9,325.0,20.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0
U3O4HpQ8hHE,2022-12-08,-0.9967753291130066,16271.0,ABN,592.0,10.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_eF7BMASHgc,2022-12-08,0.992215096950531,1339.0,ABN,473.0,1.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
R9T0VT8iTHM,2022-12-12,0.9983862638473512,8821.0,Sakshi,487.0,209.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
z9gy0rJ5HxA,2022-12-13,0.9856131672859192,4340.0,Sakshi,324.0,11.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
cRk07iSZm54,2022-12-17,-0.9971365928649902,59897.0,Sakshi,485.0,117.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
BcYbZ4CTAKQ,2023-01-07,-0.9908875226974488,1452.0,ABN,213.0,1.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x3BJxMVauWs,2023-01-09,-0.9993113279342652,2195.0,TV9,188.0,1.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MQdRdmdLV0c,2023-01-10,-0.9909355044364928,25082.0,TV9,395.0,22.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N5LZ41rxGIk,2023-01-10,-0.9988536834716796,11070.0,TV9,188.0,6.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oAfz96FW4R4,2023-01-10,0.998760223388672,3378.0,TV9,306.0,11.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
URHIACBZ8AE,2023-01-14,0.9985070824623108,1617.0,TV9,65.0,1.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0
mI3ztikudQo,2023-01-17,0.9985722303390504,892.0,ABN,328.0,0.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
G5EBtJ7Pz08,2023-01-19,0.994904398918152,1432.0,Sakshi,546.0,7.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
hToIqveO5pY,2023-01-20,-0.998744249343872,3579.0,TV5,570.0,4.0,parchur.png,Yeluri Sambasiva Rao,TDP,parchoor,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
