ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ap assembly session today,alliance,visakha
7Q8YuoLcmCQ,2023-01-03,0.9923250675201416,4434.0,TV9,156.0,6.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,1,1,0,0,0,0,0,0,0,0,0,0
7KXqXIb2GE4,2023-01-04,-0.9982414245605468,8660.0,TV5,202.0,9.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,0,0,0,0,0,0,0,0,0,0,0,0
PVCWC1K16hM,2023-01-04,0.9940696954727172,928.0,TV9,335.0,5.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,1,1,1,0,0,1,1,1,1,1,0,1
SzBCEm07X1U,2023-01-04,-0.9989284873008728,1727.0,Sakshi,222.0,28.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,0,1,1,1,1,1,0,0,0,1,0,0
KN05e-tO6Fs,2023-01-06,-0.997847318649292,1529.0,TV9,300.0,2.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
dgpIR9MXV7U,2023-01-08,-0.9968276619911194,3013.0,TV9,151.0,0.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
EsVbDnLDMRE,2023-01-11,-0.9973006844520568,2638.0,ABN,540.0,0.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
ouRmShR_Hv0,2023-01-12,0.9985142350196838,4270.0,Sakshi,203.0,2.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,1,0,0,0,0,1,0,1,0,0,1
w7kONe-wpaI,2023-01-14,0.9984890222549438,581.0,ABN,519.0,1.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
jENqailc74k,2023-01-20,-0.9984622001647948,2659.0,Sakshi,170.0,9.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,1,1,0,1,0,0,0,0,0,0,1
Ek0objwA284,2023-01-24,-0.9706628322601318,1641.0,Sakshi,203.0,22.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,1,0,1,1,0,0,0,0,0,0
U4Xvk_GsDcA,2023-01-24,0.9974384307861328,1198.0,Sakshi,309.0,2.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,1,1,0,0,0,0,0,0,0
ptvfMGBrajk,2023-01-27,-0.995988667011261,534.0,ABN,77.0,0.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,0,0,0,0,0,0,0,0,0,0,0,0
RJIqoG3m3s4,2023-02-01,0.9980704188346864,1917.0,TV5,186.0,4.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
r7611j-aaCc,2023-02-03,-0.9977455735206604,3498.0,TV9,281.0,7.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,1,1,0,0,0,0,0,0,0,0,0,0
7BKEPNUNwgc,2023-02-06,0.9941366910934448,26436.0,TV9,345.0,44.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
hRoQo2NMgEo,2023-02-06,0.9945899248123168,3053.0,Sakshi,256.0,2.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,1,0,0,0,0,0,0,0
