ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,janasena party,tdp pattabhi,ap employees,Sajjala ,ap assembly session today,Atchannaidu,high court,gorantla ,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy, Botsa ,Kakani,vijayasai reddy,jogi ramesh ,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,ayyanna patrudu ,Pension,vangaveeti radha,suprem court,perni nani ,tdp leaders arrest,ap development,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,janasena alliance with tdp,gudivada ,Kodali Nani ,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
yLeoXK_Bqes,2022-02-23,-0.9987910389900208,57885.0,Sakshi,285.0,250.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
MxehcF3FTn4,2022-02-24,-0.9985740184783936,4467.0,Sakshi,219.0,11.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ZoQFb1qlTyo,2022-02-24,0.9891633987426758,3325.0,Sakshi,313.0,14.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
vBsvGEZqLcE,2022-02-25,-0.97694730758667,5295.0,Sakshi,76.0,35.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tjC7lFOEZYc,2022-02-25,0.994436502456665,2202.0,Sakshi,198.0,0.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MMCtgZ9KOAA,2022-02-25,0.9969817996025084,3781.0,Sakshi,110.0,9.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zYIJ209-b-U,2022-03-03,-0.9971463084220886,18796.0,Sakshi,432.0,19.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1_fNY_yKuxg,2022-03-04,0.9986867308616638,1533.0,Sakshi,202.0,4.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sCq9HUNXviA,2022-03-05,-0.9578039646148682,28362.0,Sakshi,533.0,108.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yiENp6uTuU8,2022-03-09,-0.9973248243331908,18546.0,Sakshi,285.0,82.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lkZ7hbVTI8I,2022-03-13,0.9973248243331908,2750.0,Sakshi,222.0,14.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vVPppZShk9s,2022-03-19,0.9933872818946838,41120.0,Sakshi,412.0,142.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MlNhwPoR9EY,2022-03-26,-0.9918808341026306,88403.0,Sakshi,333.0,97.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
jFrYabx6CxY,2022-03-26,-0.9992363452911376,3196.0,Sakshi,307.0,8.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4VAligHq_to,2022-03-31,-0.998233437538147,48165.0,Sakshi,342.0,44.0,Rajam.png,Kambala Jogulu,YSRCP,Razam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
