ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy
jyxPwN4pB8Y,2022-12-13,-0.9988583326339722,2490.0,TV9,267.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
klqH59s6Kls,2022-12-16,-0.9980489015579224,1237.0,TV5,270.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Tzme_ExSP0M,2022-12-18,-0.9942649006843568,2843.0,TV9,311.0,2.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r3xrjqzq2zk,2022-12-18,0.9943602681159972,2700.0,TV9,517.0,3.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qQfx3M0thv8,2022-12-19,-0.9961588382720948,10348.0,TV5,401.0,5.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
v9wWnkNXXvM,2022-12-20,0.986791491508484,34329.0,TV5,514.0,23.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2YcWVaRS90,2022-12-21,-0.9964403510093688,14027.0,TV5,465.0,8.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
EY2ID2Gwu58,2022-12-22,0.9917333126068116,2778.0,TV9,481.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3DLlV47Q5Y,2022-12-23,-0.9994959831237792,2231.0,ABN,235.0,2.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
jc_s35eFyHk,2022-12-24,0.9985380172729492,2182.0,ABN,397.0,4.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
