ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,high court,gorantla ,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy,Kakani,vijayasai reddy,kotamreddy ,lakshmi parvathi,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,ys vijayamma,Pension,vangaveeti radha,suprem court,perni nani ,tdp leaders arrest,ap development,Kethireddy Venkatarami Reddy,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,Corona,gudivada ,Kodali Nani ,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
VUUpGJBzgTg,2022-02-02,-0.9956654906272888,10358.0,Sakshi,536.0,55.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VV8AxE5URvA,2022-02-04,-0.9984949827194214,5540.0,Sakshi,282.0,116.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
iEtPWdA1fdI,2022-02-06,0.9974219799041748,88656.0,Sakshi,159.0,258.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u62iTAgs3L8,2022-02-06,0.998161256313324,21092.0,Sakshi,278.0,78.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-FYzI0LouIw,2022-02-06,-0.9949937462806702,3143.0,Sakshi,386.0,33.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UamNFa4UxaA,2022-02-07,0.9895917773246764,7748.0,Sakshi,534.0,34.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VYCWaf0Fk00,2022-02-12,0.9965984225273132,2578.0,Sakshi,248.0,9.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dDKR8dTKidY,2022-02-14,-0.9861568212509156,22774.0,Sakshi,269.0,109.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9_a8wT8Y0Ug,2022-02-21,0.993937373161316,39860.0,Sakshi,131.0,6.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Wrf99guGAHI,2022-02-21,0.9963575005531312,23279.0,Sakshi,593.0,2.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tO_CkdzhRZI,2022-03-03,-0.9979660511016846,5372.0,Sakshi,340.0,34.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CqguDMU_LCU,2022-03-07,-0.9979382157325744,127391.0,Sakshi,104.0,385.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0V_s9CeGOHc,2022-03-11,0.9955571293830872,9661.0,Sakshi,87.0,22.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-n84XSSeeJY,2022-03-12,0.998387336730957,2619.0,Sakshi,195.0,3.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I1T3PHFIUyI,2022-03-14,0.9951307773590088,61548.0,Sakshi,223.0,520.0,urvakonda.png,Payyavula Keshav,TDP,Uravakonda,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
