ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Yellow Media,janasena party,ap employees,ap assembly session today,alliance,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy,vijayasai reddy,jogi ramesh ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,ayyanna patrudu ,vangaveeti radha,suprem court,ap development,balineni srinivasa reddy,tadipatri,Jayaho BC,nellore mekapati,maa nammakam nuvve jagan,nandigama
AS_mQOTHeqA,2022-04-22,0.998075008392334,2109.0,Sakshi,339.0,17.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Vng-04XoqPY,2022-04-28,-0.9944615364074708,111257.0,Sakshi,275.0,315.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
A8vJ7L05KM0,2022-05-06,0.9911261200904846,9383.0,Sakshi,323.0,44.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
su7SDEw6t2M,2022-05-31,0.9873806238174438,41030.0,Sakshi,472.0,74.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaP8pMzHgNE,2022-06-10,-0.5287312865257263,17804.0,Sakshi,318.0,47.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NeEZM3A6QW4,2022-06-13,0.9980676770210266,9802.0,Sakshi,535.0,53.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWXj4LYHwoQ,2022-06-15,-0.9970762729644777,43448.0,Sakshi,332.0,148.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tDMVq2HQoxs,2022-06-16,-0.9977902173995972,51478.0,Sakshi,513.0,216.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNla5c9u4Ro,2022-06-19,-0.988398015499115,2280.0,Sakshi,196.0,0.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1
n-v9Xvb-yLM,2022-06-19,-0.9972654581069946,3211.0,Sakshi,205.0,15.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
hWTYERRj8Uk,2022-06-27,0.9370933175086976,18187.0,Sakshi,526.0,24.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8OGvCSgR3Lg,2022-06-28,0.9958315491676332,920811.0,Sakshi,474.0,755.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KVGpagv7JwA,2022-07-13,0.997900128364563,7510.0,Sakshi,400.0,11.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_BmOn4NIc,2022-07-21,0.9982207417488098,5785.0,Sakshi,434.0,6.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
VdS1vR-JoGA,2022-08-02,0.9974278807640076,3392.0,Sakshi,514.0,7.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RKdD0JHj0QU,2022-08-02,-0.9984686970710754,3991.0,Sakshi,253.0,21.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
sC6KLsD_Ams,2022-08-02,0.9978579878807068,1854.0,Sakshi,542.0,6.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2s2NvrdwV8,2022-08-09,-0.9978606104850768,33926.0,Sakshi,167.0,60.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBuZqIko8EY,2022-08-13,0.9985352754592896,1170.0,Sakshi,232.0,4.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
uS_oS9h_tAI,2022-08-19,-0.9988940358161926,5522.0,Sakshi,360.0,25.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
upYnTcV4_WY,2022-08-19,-0.9981362819671632,8406.0,Sakshi,205.0,17.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
7YraAP_S8h4,2022-08-22,0.9860429763793944,2217.0,Sakshi,576.0,6.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q0CU7IXRUOU,2022-08-22,0.9915195107460022,13122.0,Sakshi,489.0,158.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U4eXIpNg5ws,2022-08-24,-0.9355143308639526,2716.0,Sakshi,250.0,10.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FfAtU6sj0X8,2022-08-25,-0.9898790121078492,54109.0,Sakshi,210.0,75.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gawnyt6u2SA,2022-09-13,-0.9991912245750428,25706.0,Sakshi,504.0,121.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
hO6KEQ58zwY,2022-09-13,0.9890769720077516,1359.0,Sakshi,534.0,7.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gz1AflaCCfU,2022-09-14,0.9987020492553712,3747.0,TV5,322.0,7.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
x0mJ1WwyR5k,2022-09-15,-0.997526466846466,1769.0,Sakshi,148.0,24.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nJW8Si-_xYc,2022-09-16,-0.9883829951286316,3418.0,Sakshi,505.0,2.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4KjY3xHG440,2022-09-19,-0.9966853260993958,1889.0,TV5,146.0,1.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Z0BocJMKGCY,2022-09-21,0.9957113265991212,1091.0,Sakshi,315.0,3.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2CsSkEc_Iks,2022-09-21,-0.9946856498718262,1856.0,Sakshi,377.0,9.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7sG8plTvnRQ,2022-09-22,0.997851014137268,4306.0,Sakshi,509.0,27.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATw4Rpts-sY,2022-09-24,-0.9989295601844788,1542.0,TV5,250.0,1.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
71xhy-eagHo,2022-09-24,0.9931627511978148,30699.0,Sakshi,370.0,126.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
my1bQV6f83E,2022-09-24,-0.9972538352012634,2437.0,Sakshi,198.0,17.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
LAsoAkXFRo0,2022-09-26,-0.9981949925422668,3793.0,TV5,304.0,3.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bl3eWM6sunk,2022-09-26,-0.9986114501953124,2291.0,TV5,381.0,5.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ymRwvb8jUW8,2022-09-26,0.9861916303634644,2474.0,TV5,271.0,4.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
oJAn71lH9i8,2022-09-27,-0.9960712194442748,678.0,TV5,261.0,0.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HxCoFcis5mI,2022-09-30,-0.98954039812088,10082.0,Sakshi,186.0,49.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vnJeKQGz3DQ,2022-10-02,-0.9982093572616576,3458.0,Sakshi,504.0,20.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SZiLEe-kBWU,2022-10-02,-0.9993947744369508,1968.0,Sakshi,335.0,11.0,pedana.png,jogi ramesh,YSRCP,Pedana,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1
Bg9kx4TcFF0,2022-10-10,0.9956737160682678,20145.0,Sakshi,431.0,219.0,pedana.png,jogi ramesh,YSRCP,Pedana,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
