ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,Sajjala ,high court,alliance,yuvashakti,suprem court,ap development,tadipatri,High Court
KXZCdMmTd1c,2022-11-23,0.9055907726287842,2675.0,TV9,184.0,3.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Pz7u4boGaIo,2022-11-23,0.8652715086936951,567.0,TV9,126.0,4.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hiz1njkxSW0,2022-11-23,0.9982903599739076,3151.0,TV9,170.0,4.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
eWc7vH6gBxQ,2022-11-23,-0.9982520937919616,2366.0,ABN,249.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
mrkEeH3vLl4,2022-11-23,-0.9956888556480408,3043.0,TV9,112.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
-ibvMUXhpks,2022-11-23,-0.9906089305877686,5330.0,TV5,374.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3U-BEn5WXZI,2022-11-24,-0.9952310919761658,1269.0,TV9,97.0,3.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bGQpiU-kSsQ,2022-11-24,-0.9816317558288574,20662.0,TV5,210.0,32.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
rz1cOwaSpO4,2022-11-25,-0.997417688369751,1586.0,TV5,455.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zCvsvyQX9PU,2022-11-25,0.9934648871421814,7035.0,TV5,297.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
TNKCfCDxGks,2022-11-25,0.9889962673187256,2115.0,TV5,335.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
