ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,raghurama ,AP ,yuvagalam,amaravati,Kuppam,ap employees,ap assembly session today,alliance,Peddireddy ,polavaram,visakha,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,Anam Ramanarayana Reddy
Abvdowohj80,2022-09-06,-0.9995056390762328,1905.0,TV5,522.0,5.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
y7AhvmjxOYY,2022-09-08,-0.9719240069389344,2287.0,TV5,140.0,7.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
bfANwhN563I,2022-09-12,0.992780864238739,42955.0,Sakshi,516.0,160.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n8rt_pVxg9k,2022-09-12,-0.9977754950523376,7636.0,Sakshi,240.0,21.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
vHApOLG7WjQ,2022-09-17,0.9871161580085754,6977.0,Sakshi,155.0,8.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Z5A0-SYyWos,2022-09-19,-0.999244213104248,8850.0,TV5,429.0,17.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
QQWdkaKArSY,2022-09-28,0.9834938049316406,9688.0,Sakshi,307.0,35.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oTBFde2_ke4,2022-09-28,0.9961816072463988,4896.0,Sakshi,387.0,0.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0
K_U-QRC0dpc,2022-10-04,0.9854156374931335,1693.0,Sakshi,188.0,12.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CptPbJZYhBY,2022-10-08,0.9852489829063416,459.0,TV5,190.0,0.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBFORdLiYdM,2022-10-10,-0.9931796789169312,119492.0,Sakshi,430.0,193.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UiKm4wBxHPs,2022-10-20,-0.9971068501472472,1286.0,ABN,210.0,15.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1H1_SsnPZA,2022-10-20,-0.9974479675292968,10273.0,ABN,198.0,34.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E9a5UplpeIg,2022-10-25,-0.9812652468681335,6040.0,Sakshi,326.0,17.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2w0Gnwdw9F4,2022-10-26,-0.9984461665153505,1451.0,ABN,332.0,4.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
