ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,cm jagan,chandrababu,yuvagalam,yuvashakti,tadepalli,suprem court,ap development,tadipatri
IMYDAlr_Tvo,2023-02-18,-0.9978715181350708,1516.0,TV9,88.0,4.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,1,0,0,1,1,1,1,0,0,0
mc3nJm_lR-k,2023-02-22,-0.9988232254981996,1533.0,ABN,119.0,2.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,1,0,0,1,0,0,0,1,1,0,1
n34JfH022O8,2023-03-06,0.9986666440963744,88129.0,TV9,160.0,35.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
ynzwjLWEasE,2023-03-12,0.9982945322990416,2329.0,Sakshi,293.0,6.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,1,1,1,1,0,1,1,1,1,1,1
Qjyy_U_BLXA,2023-03-13,0.998701810836792,15115.0,TV9,182.0,13.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,1,0
nZe5b8_XOZ4,2023-03-16,-0.9963796734809875,1530.0,TV9,359.0,13.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,1,0,0
JNXiMTqcZe0,2023-03-16,0.982959508895874,107567.0,TV9,160.0,10.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
AtqGSje4hd0,2023-03-22,-0.9972885847091676,2248.0,TV9,289.0,4.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,1,0,0
Mw7W1pWVIqM,2023-03-24,0.998066246509552,871.0,ABN,280.0,1.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,1,0,0,0,1,0,0
1_VMAp_2RoE,2023-03-24,-0.9984115362167358,1792.0,ABN,245.0,1.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,1,0,0
KkelGEizQxY,2023-03-31,-0.9988031387329102,782.0,TV9,272.0,3.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
T0gh_vXou7M,2023-04-10,-0.983336865901947,2059.0,ABN,322.0,4.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
aPwchAJc8TU,2023-04-14,-0.9884519577026368,1163.0,TV5,311.0,0.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,1,0,1,0,0,0,0
qENVec6lekg,2023-04-14,0.9924960136413574,3036.0,TV5,311.0,3.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,1,0,0,0,1,0,1,0,0,0,0
jefShWvAnUc,2023-04-17,-0.9994670748710632,18123.0,ABN,266.0,13.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,1,0,0
CNihNBCyMEg,2023-04-18,-0.9994770884513856,1882.0,TV9,226.0,13.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
DEF9B3S7v-A,2023-04-20,-0.9705380797386168,44063.0,Sakshi,249.0,56.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,1,0,1,1,1,0,0,0,0,0,0
z8Gow3N5H2M,2023-04-20,0.9954569339752196,824.0,TV9,307.0,2.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
RvUNVTMeTx0,2023-04-21,-0.9927666187286376,1661.0,TV9,140.0,10.0,polavaram.png,Tellam Balaraju,YSRCP,Polavaram,0,0,0,0,0,0,0,0,0,0,0
