ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,ap employees,ap assembly session today,high court,alliance,Peddireddy ,polavaram,visakha,Kakani,kotamreddy ,roja,nellore ,yuvashakti,tadepalli,ayyanna patrudu ,suprem court,tdp leaders arrest,ap development,tadipatri,gudivada ,varahi ,nandigama,High Court
bfANwhN563I,2022-09-12,0.992780864238739,42955.0,Sakshi,516.0,160.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fJ62aQp2BIU,2022-09-12,0.9951983094215392,1827.0,TV5,467.0,5.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go-ljeiylFo,2022-09-12,-0.9981101751327516,6681.0,Sakshi,77.0,5.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UjE89WPLisM,2022-09-16,-0.9978708028793336,5320.0,TV5,327.0,8.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TrbOaSq_rUQ,2022-09-17,-0.9935125708580016,4091.0,Sakshi,170.0,1.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
46F3nC6g7nQ,2022-09-17,0.9933400750160216,8395.0,Sakshi,539.0,29.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fv-QQXPIiw4,2022-09-19,-0.9978153705596924,2703.0,TV5,340.0,4.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
CXaZ94Sq-_Q,2022-09-21,-0.999264657497406,3492.0,TV5,73.0,6.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oHGC3opVxlE,2022-09-26,-0.9602888226509094,8037.0,Sakshi,595.0,32.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-ZceAxCrZY4,2022-09-26,-0.9852535128593444,18268.0,Sakshi,223.0,55.0,puthalapattu.png,m babu,YSRCP,Puthalapattu,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
