ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,ap employees,ap assembly session today,alliance,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
SPsgl77JXnk,2022-11-29,-0.999126136302948,1222.0,TV5,285.0,1.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1
V6uORrPRh6k,2022-12-03,-0.9980706572532654,1326.0,TV9,190.0,2.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
vKEoxzjI4bM,2022-12-04,0.9943063855171204,1209.0,TV9,494.0,7.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cku1cEIrH70,2022-12-04,-0.9946194887161256,2389.0,Sakshi,170.0,13.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
lVNJWm7Kjb4,2022-12-04,0.9933699369430542,1592.0,Sakshi,515.0,10.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
M3wFWxBda_0,2022-12-05,-0.9965792298316956,2088.0,TV9,202.0,1.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79deK8IdJCM,2022-12-05,0.9944599866867064,3156.0,TV9,301.0,3.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
8yQUxGw69ug,2022-12-06,0.9951326251029968,2641.0,ABN,215.0,3.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BTFpopiZj50,2022-12-07,0.9982323050498962,621.0,TV9,193.0,1.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bO68D9B9gSM,2022-12-12,-0.9925748109817504,6771.0,TV5,190.0,19.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Lm4gSohu2kM,2022-12-12,0.9888140559196472,1274.0,TV5,415.0,0.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q-SlIKXQAFo,2022-12-16,0.9968482851982116,890.0,Sakshi,165.0,0.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_yNcxdquZnU,2022-12-19,-0.9962455630302428,4775.0,ABN,256.0,24.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WmOBfaR9n2s,2022-12-19,-0.992649495601654,6692.0,TV9,464.0,0.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNdkMCr-H5k,2022-12-20,0.9986128807067872,69814.0,Sakshi,516.0,136.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
IpTHlm6XKMM,2022-12-21,0.9987552165985109,1580.0,Sakshi,276.0,5.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
gw-E24nmJyc,2022-12-22,-0.996248185634613,4357.0,ABN,520.0,1.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipMwHTfrhZA,2022-12-26,0.9827427864074708,12855.0,ABN,390.0,9.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTgcXUPhGjE,2022-12-26,0.9903752207756042,28595.0,Sakshi,483.0,22.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZHRH9k1wPJw,2022-12-26,-0.999135673046112,16202.0,ABN,523.0,17.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guVrnJ5T3xI,2022-12-26,-0.9977781176567078,40396.0,ABN,545.0,63.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tKYwtT3StLc,2022-12-26,0.9967793822288512,47319.0,Sakshi,337.0,35.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
