ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,janasena party,Ramoji Rao,ap employees,ap assembly session today,jr ntr,gorantla ,alliance,polavaram,visakha,byreddy siddharth reddy,bonda uma ,Kakani,kotamreddy ,roja,nellore ,Machilipatnam,srikakulam,yuvashakti,tadepalli,vangaveeti radha,suprem court,perni nani ,ap development,tadipatri,janasena alliance with tdp,gudivada ,Kodali Nani ,varahi ,kodi kathi,nandigama
gohBz1MjU5c,2021-12-28,0.9979522228240968,33301.0,Sakshi,125.0,63.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
FgSe9dhQhkk,2021-12-28,0.998672366142273,77886.0,Sakshi,406.0,410.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
G7jctxq3x8Q,2021-12-28,0.9946040511131288,12779.0,Sakshi,190.0,22.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M0ir0Pi3jSM,2021-12-28,-0.998236894607544,9514.0,Sakshi,108.0,13.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
SCt3uuMdyEQ,2021-12-28,-0.9967141151428224,25263.0,Sakshi,103.0,50.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bd-P-tjs_sI,2022-01-04,0.996086835861206,941274.0,Sakshi,129.0,0.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
NHeZ4xSaTX0,2022-01-04,-0.9985104203224182,47132.0,Sakshi,167.0,133.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
H1OySJjSwn8,2022-01-04,-0.998001754283905,79914.0,Sakshi,214.0,271.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TwYRGgW5k3k,2022-01-05,-0.9994837045669556,18639.0,Sakshi,153.0,48.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
j21Zt3LupY8,2022-01-06,-0.9987955093383788,44456.0,Sakshi,233.0,266.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
xmiciY9FmmI,2022-01-06,-0.9994463324546814,35746.0,Sakshi,131.0,98.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
L7jo4wlhp3Q,2022-01-06,-0.9908357858657836,13659.0,Sakshi,99.0,39.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
E3QENJEF4Pw,2022-01-06,-0.9987407326698304,4146.0,Sakshi,86.0,20.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2yk2xgyXnno,2022-01-06,0.997205913066864,27516.0,Sakshi,158.0,87.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tdyvUv37YUQ,2022-01-06,-0.9975526928901672,62697.0,Sakshi,323.0,226.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HJSrhDMConk,2022-01-06,-0.9917978048324584,98867.0,Sakshi,122.0,353.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PKsFpV4Q3So,2022-01-21,-0.9970056414604188,162372.0,Sakshi,217.0,535.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
C5kyUC6B2SA,2022-01-21,-0.9988665580749512,174119.0,Sakshi,96.0,362.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5Zzzqa7E2Os,2022-01-22,0.9955920577049256,78134.0,Sakshi,344.0,262.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
fi4yhNtQg-U,2022-01-22,-0.9960814118385316,33911.0,Sakshi,124.0,90.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
b6rZvof72Wg,2022-01-22,-0.9989842772483826,72262.0,Sakshi,341.0,430.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
gProIe78EJo,2022-01-22,-0.9986355900764464,16908.0,Sakshi,202.0,32.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
Zhvsv_EXuAo,2022-01-25,0.9928077459335328,155906.0,Sakshi,77.0,182.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
9gv7a_ievJc,2022-01-25,-0.9993959665298462,21043.0,Sakshi,294.0,34.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1
N4AOi_OuSAE,2022-01-25,-0.9770379066467284,5510.0,Sakshi,430.0,15.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
bFuzc__E82M,2022-01-25,-0.9986135959625244,375362.0,Sakshi,339.0,560.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6lWLuwpHLEI,2022-01-25,-0.9902931451797484,174312.0,Sakshi,417.0,198.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
u92eDHFxR34,2022-01-27,0.9691109657287598,99215.0,Sakshi,148.0,129.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1
mXA2BR5pIto,2022-01-27,0.9965217113494872,237129.0,Sakshi,113.0,377.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
3a9i3pfxSc8,2022-01-27,0.9675126075744628,24631.0,Sakshi,266.0,73.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0
oYl_21EawKE,2022-01-27,-0.9987955093383788,3277.0,Sakshi,372.0,11.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q9pmbSYisgA,2022-01-29,-0.9878771305084229,12491.0,Sakshi,102.0,18.0,gudivada.png,Kodali Nani,YSRCP,Gudivada,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
