ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,janasena party,ap assembly session today,alliance,byreddy siddharth reddy,kotamreddy ,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,Kodali Nani 
SegnBq7GOz4,2022-11-12,0.9971157312393188,79739.0,Sakshi,570.0,391.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Rb4LvIJSkMc,2022-11-13,-0.9923006296157836,1505.0,Sakshi,162.0,2.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
JPi5nOHfBk4,2022-11-14,0.9908734560012816,9843.0,Sakshi,384.0,39.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kWGFlI6z-KY,2022-11-19,-0.9983453750610352,109595.0,Sakshi,369.0,130.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
FaX_59fuFpk,2022-11-20,-0.9985305070877076,317.0,TV9,203.0,0.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPCkByQVjAc,2022-11-24,0.9985846281051636,6535.0,TV5,550.0,39.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z8ZM7hfhIJY,2022-12-01,-0.9987394213676452,933.0,TV9,288.0,1.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
E4rdL3rOhpE,2022-12-03,-0.9994713664054872,5769.0,TV9,308.0,18.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
krADEFV2cpk,2022-12-03,0.9953933954238892,2945.0,TV9,495.0,4.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vuSRTwp2C4s,2022-12-17,-0.966105043888092,14607.0,Sakshi,169.0,24.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-9HD2mmrMUE,2022-12-25,-0.9958738684654236,1849.0,ABN,326.0,2.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fkw1t2MTWYw,2022-12-26,0.9986969828605652,191674.0,Sakshi,504.0,163.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8UO_4nMsYZo,2022-12-26,0.9980762004852296,1008.0,Sakshi,241.0,0.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
HW2_lPKzHsU,2022-12-26,0.9811970591545104,4347.0,TV9,347.0,0.0,guntakal.png,Y.Venkatarama Reddy,YSRCP,Guntakal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
