ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Kuppam,ap employees,ap assembly session today,alliance,vangalapudi anitha,polavaram,visakha
NGkUP9xgqho,2022-07-29,0.993819534778595,203328.0,Sakshi,312.0,130.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
B68yKNI4qhU,2022-08-03,0.9976351261138916,38016.0,Sakshi,208.0,60.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
QzYO3ZgmOhQ,2022-08-04,0.9857790470123292,1451.0,Sakshi,425.0,8.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0Ywawf-PAIA,2022-08-07,0.9960796236991882,83561.0,Sakshi,198.0,40.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
_NjXA6yZuFA,2022-09-02,0.9971829652786256,1392.0,TV5,75.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
W_e8oDQE7gA,2022-09-02,-0.9990946054458618,326.0,TV5,478.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ojvQIGuIdUg,2022-09-05,0.9965613484382628,3495.0,Sakshi,323.0,12.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyf-eIV1D1E,2022-09-07,0.9986118078231812,1324.0,TV5,192.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dNB75safdX4,2022-09-08,0.9982959628105164,3573.0,Sakshi,164.0,9.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1
ztEcczxDtUQ,2022-09-08,-0.9318764209747314,6306.0,TV5,290.0,18.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
cv7wnoGJ5iY,2022-09-08,0.9985802173614502,4018.0,Sakshi,99.0,4.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
