ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Yellow Media,panchayat elections,Kuppam,janasena party,tdp pattabhi,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,gorantla ,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
nwIWELH7QKE,2021-11-12,0.993907392024994,1051.0,Sakshi,478.0,5.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6hISus-PzhI,2021-11-12,0.99461030960083,2326.0,Sakshi,183.0,2.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jh6rP07NZk4,2021-11-15,-0.9994833469390868,6017.0,Sakshi,171.0,21.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UIvFUMyS57w,2021-11-15,-0.9967862367630004,2563.0,Sakshi,485.0,14.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Raad8albmo,2021-11-23,-0.9959640502929688,34591.0,Sakshi,108.0,57.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QvM3Iihxk-M,2021-11-23,0.991130232810974,48531.0,Sakshi,78.0,84.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dYfq6ej4xbk,2021-11-23,-0.9978843331336976,3838.0,Sakshi,256.0,8.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sMBFnhm8a1U,2021-11-23,-0.9984651803970336,67156.0,Sakshi,508.0,160.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
e3B04PR5hb4,2021-11-23,0.9941847920417786,44476.0,Sakshi,282.0,67.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hivtBAofdx4,2021-11-24,-0.9814797043800354,18592.0,Sakshi,209.0,51.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NF2AKK3ZGIU,2021-11-26,0.986659288406372,2846.0,Sakshi,400.0,3.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
xCeZnj-YZv0,2021-11-26,-0.98127543926239,4189.0,Sakshi,433.0,12.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K55BdsBVm98,2021-11-26,0.99844092130661,16050.0,Sakshi,68.0,24.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSPPz6KZqwk,2021-12-10,0.9888043999671936,12781.0,Sakshi,457.0,98.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iWuaf9VAwkU,2021-12-10,-0.9825326204299928,540.0,Sakshi,278.0,0.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2YjIhXcCBHQ,2021-12-10,0.985903024673462,12748.0,Sakshi,380.0,85.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8pBwmkYLe1E,2021-12-10,0.9775617718696594,3255.0,Sakshi,344.0,10.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k0Y-B1s5MaI,2021-12-11,-0.9983516931533812,12596.0,Sakshi,397.0,23.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sTk9eLSNrNE,2021-12-11,-0.9974446296691896,3991.0,Sakshi,401.0,13.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aac6SZKuK6Y,2021-12-16,-0.9786465764045716,6936.0,Sakshi,417.0,27.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0DvLVw4iPis,2021-12-29,-0.9985438585281372,38368.0,Sakshi,152.0,84.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
n8mBP2aNrYw,2021-12-29,-0.9878828525543212,12890.0,Sakshi,390.0,19.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iG3LVH-aZAk,2021-12-29,-0.9971863627433776,21963.0,Sakshi,224.0,69.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KJ-KvUs-1Is,2022-01-05,-0.6979511380195618,2231.0,Sakshi,302.0,7.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erj6dCAiyug,2022-01-05,-0.9990785121917723,7228.0,Sakshi,308.0,29.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZpDs7wpK7E,2022-01-07,-0.9992570281028748,2060.0,Sakshi,65.0,13.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oNBvQNDbPOc,2022-01-13,-0.9925589561462402,50195.0,Sakshi,565.0,92.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79X6FSn_oL8,2022-01-18,0.9925296902656556,49724.0,Sakshi,204.0,53.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
