ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,Atchannaidu,alliance,polavaram,visakha
JtrNtt9-RZ0,2022-09-12,-0.9960384368896484,1610.0,Sakshi,498.0,3.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44nHgkAzsMU,2022-09-15,0.9968373775482178,3210.0,TV5,370.0,10.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4jJ04P4Q5MA,2022-09-15,0.7717252373695374,16336.0,Sakshi,264.0,67.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
ka2f4ijnzZ0,2022-09-16,0.9980158805847168,3623.0,Sakshi,500.0,7.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
v3BWegKjiJg,2022-09-16,-0.9887365698814392,2195.0,Sakshi,229.0,6.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
46F3nC6g7nQ,2022-09-17,0.9933400750160216,8395.0,Sakshi,539.0,29.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BmOJsNObkac,2022-09-18,0.970881462097168,345458.0,TV5,290.0,625.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0
7zYVEtfMmo0,2022-09-19,0.992746651172638,2723.0,Sakshi,245.0,8.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
Wn-RfeiVHTs,2022-09-19,0.9954283237457277,2076.0,TV5,120.0,14.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
9yQOKH3Lo44,2022-09-19,-0.9808905124664308,1681.0,Sakshi,161.0,6.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0
GycsJ4jbJb0,2022-09-19,-0.9980953335762024,2563.0,TV5,260.0,10.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
bhz1vH88Gfo,2022-09-19,0.9940534234046936,2818.0,Sakshi,221.0,6.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
EIUmcSPRGhI,2022-09-20,0.9970532655715942,1139.0,Sakshi,486.0,2.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SXxN7C2UQIM,2022-09-20,0.9970428347587584,43420.0,Sakshi,596.0,75.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
