ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Vidadala Rajini,ap assembly session today,jr ntr,Atchannaidu,high court,alliance,Peddireddy ,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy
NJKe8tVl-w8,2022-04-18,0.9916988611221312,27811.0,Sakshi,582.0,25.0,rampochandavram.png,Nagulapalli Dhanalakshmi,YSRCP,Rampachodavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m8pdR7wM_7I,2022-04-23,0.9959718585014344,26221.0,Sakshi,357.0,97.0,rampochandavram.png,Nagulapalli Dhanalakshmi,YSRCP,Rampachodavaram,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bSZbtcuZopM,2022-05-05,0.998778522014618,143738.0,Sakshi,170.0,185.0,rampochandavram.png,Nagulapalli Dhanalakshmi,YSRCP,Rampachodavaram,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
xx13CsuKLhc,2022-05-10,-0.9988635778427124,82972.0,Sakshi,312.0,282.0,rampochandavram.png,Nagulapalli Dhanalakshmi,YSRCP,Rampachodavaram,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RLRa3ge41XQ,2022-05-13,0.9979191422462464,11651.0,Sakshi,204.0,56.0,rampochandavram.png,Nagulapalli Dhanalakshmi,YSRCP,Rampachodavaram,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3l6f1pV6_5o,2022-05-14,0.9983406066894532,19364.0,Sakshi,313.0,15.0,rampochandavram.png,Nagulapalli Dhanalakshmi,YSRCP,Rampachodavaram,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pZ1J8srKMWw,2022-06-02,-0.9962478280067444,90857.0,Sakshi,493.0,108.0,rampochandavram.png,Nagulapalli Dhanalakshmi,YSRCP,Rampachodavaram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IdXIC55F3pc,2022-06-08,0.9987260699272156,11776.0,Sakshi,304.0,41.0,rampochandavram.png,Nagulapalli Dhanalakshmi,YSRCP,Rampachodavaram,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SjsgmKmUomE,2022-06-08,0.9966617822647096,16423.0,Sakshi,359.0,26.0,rampochandavram.png,Nagulapalli Dhanalakshmi,YSRCP,Rampachodavaram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XUyW7Gm_eRY,2022-06-17,-0.9982548356056212,12186.0,Sakshi,217.0,45.0,rampochandavram.png,Nagulapalli Dhanalakshmi,YSRCP,Rampachodavaram,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7Ck9o2_kOc,2022-06-21,-0.9960914254188538,72044.0,Sakshi,304.0,505.0,rampochandavram.png,Nagulapalli Dhanalakshmi,YSRCP,Rampachodavaram,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cudcww-L_A4,2022-06-27,-0.9901081323623656,1701.0,Sakshi,259.0,0.0,rampochandavram.png,Nagulapalli Dhanalakshmi,YSRCP,Rampachodavaram,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5ZTltafcFvs,2022-06-29,-0.9990602135658264,52560.0,Sakshi,445.0,94.0,rampochandavram.png,Nagulapalli Dhanalakshmi,YSRCP,Rampachodavaram,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
