ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,nara lokesh,AP ,yuvagalam,ap employees,ap assembly session today,alliance,polavaram,visakha,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
NBXEG_hoUj4,2022-03-10,0.9907310605049132,26290.0,Sakshi,494.0,53.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
qb_RyvZj1wc,2022-04-21,0.9977325201034546,3447.0,Sakshi,448.0,2.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
Z9mcXysndF4,2022-04-23,0.9979423880577089,56120.0,Sakshi,193.0,156.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
yZe3ozJp91E,2022-05-05,-0.9994935989379884,95998.0,Sakshi,167.0,312.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vziMwQTUHgE,2022-05-20,0.9971075654029846,83714.0,Sakshi,278.0,158.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2m_ECV3oRKk,2022-06-28,-0.9532487392425536,17068.0,Sakshi,323.0,14.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1
PvrCmtIacgE,2022-07-14,0.997904896736145,2863.0,Sakshi,582.0,4.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
blalMGISBZM,2022-07-21,0.997864067554474,2494.0,Sakshi,400.0,2.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
nM3AVDnq6v4,2022-07-21,0.997864067554474,2529.0,Sakshi,400.0,0.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
bHoPWzswtEE,2022-07-26,0.993047058582306,13212.0,Sakshi,183.0,5.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
ocyq6K_AjX8,2022-08-22,-0.9977147579193116,257606.0,TV5,320.0,262.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1
