ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Kuppam,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,Peddireddy ,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy
NBXEG_hoUj4,2022-03-10,0.9907310605049132,26290.0,Sakshi,494.0,53.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jYKf6qJk_0w,2022-03-21,0.9938902854919434,4080.0,Sakshi,230.0,7.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
17CL6xp6BgA,2022-03-25,-0.996505856513977,1207.0,Sakshi,390.0,0.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_drZI4yyRT4,2022-03-29,0.977007269859314,638729.0,Sakshi,149.0,0.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nqbQBsJ3NGo,2022-03-29,-0.9988645315170288,18519.0,Sakshi,232.0,42.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
bxRpvtZZlKo,2022-04-07,0.9978412389755248,18874.0,Sakshi,260.0,14.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
wnvTA5tRw4o,2022-04-22,0.995287299156189,131189.0,Sakshi,262.0,100.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8rvlBzhN0A0,2022-05-06,0.9771048426628112,75938.0,Sakshi,237.0,137.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9lxjoFPbj-Q,2022-05-11,0.9968329071998596,13149.0,Sakshi,86.0,30.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-ZZogoq5R84,2022-05-14,0.9951908588409424,29119.0,Sakshi,89.0,93.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
F5VQXLLa58k,2022-05-17,-0.9949158430099488,22453.0,Sakshi,386.0,16.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7qdxkuReIHI,2022-06-09,0.9910715222358704,54541.0,Sakshi,418.0,57.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ghUe5ilDuCM,2022-06-29,0.997688889503479,217914.0,Sakshi,326.0,307.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jfUiXbj__1A,2022-06-29,-0.9914011359214784,35350.0,Sakshi,294.0,42.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7ZvTRSK5xno,2022-06-30,-0.9981874823570251,1544.0,Sakshi,590.0,2.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
WGhYDa4Q2jg,2022-07-04,0.9943676590919496,76857.0,Sakshi,355.0,33.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hjja9oIl6bk,2022-07-07,0.966589093208313,56105.0,Sakshi,339.0,67.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
pCisqwf9n6M,2022-07-10,0.9983918070793152,113276.0,Sakshi,342.0,115.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
t9O5fCWO18s,2022-07-12,0.9985143542289734,19547.0,Sakshi,148.0,8.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0
gwgHHEkBWOg,2022-07-14,0.9942489862442015,2942.0,Sakshi,347.0,3.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dT8a6lWthRs,2022-07-21,0.9950503706932068,3765.0,Sakshi,560.0,1.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vS3MD8g28rg,2022-07-21,0.9896730184555054,3435.0,Sakshi,225.0,3.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
