ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,polavaram,visakha,roja,nellore ,yuvashakti,tadepalli,ayyanna patrudu ,suprem court,ap development,tadipatri
PWkkqaEFVN0,2022-12-10,-0.9980453252792358,257.0,ABN,264.0,0.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ZLnTCl7hwNI,2022-12-11,-0.9925971031188964,1757.0,TV5,533.0,0.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QkT8-yo4bA0,2022-12-11,0.9560285210609436,25380.0,TV5,570.0,14.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sn31OKiSA2M,2022-12-14,-0.993247389793396,17098.0,TV5,301.0,38.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uS8Ypq_rSck,2022-12-17,0.9971381425857544,3102.0,Sakshi,186.0,2.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HJreSzyqm8c,2022-12-17,0.9953736662864684,92361.0,TV5,550.0,115.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
xaVDaeOHBI8,2022-12-22,-0.993293523788452,1240.0,ABN,335.0,4.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UI0KHJ-S_7g,2022-12-29,0.9899829030036926,63379.0,TV5,161.0,42.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1zXMegCLqOo,2023-01-07,-0.990515947341919,914.0,Sakshi,290.0,0.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JbdmvQ8fQI4,2023-01-09,-0.9977547526359558,1890.0,TV5,245.0,4.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
v_h52IWkDvA,2023-01-09,0.99802964925766,1366.0,TV5,305.0,1.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
