ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,polavaram,visakha
JtrNtt9-RZ0,2022-09-12,-0.9960384368896484,1610.0,Sakshi,498.0,3.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bfANwhN563I,2022-09-12,0.992780864238739,42955.0,Sakshi,516.0,160.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GsJ8eP6xYt4,2022-09-20,-0.9981269240379332,13065.0,Sakshi,267.0,10.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0
c048AytAls8,2022-09-30,0.988658845424652,19678.0,Sakshi,529.0,88.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UKd1QxyKrvA,2022-10-03,0.9981467723846436,1731.0,Sakshi,264.0,6.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
eVhuW4sdelM,2022-10-03,0.9924303889274596,354.0,TV5,101.0,0.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
I0psfsrv03s,2022-10-04,0.9879587888717652,1829.0,TV5,436.0,2.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abpasqY7fI0,2022-10-07,-0.9984365105628968,1222.0,TV5,257.0,1.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
ed5mFWqJU5E,2022-10-08,0.9959868788719176,1135.0,TV5,415.0,0.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uNRmC4qh1dA,2022-10-12,0.9881581664085388,21966.0,TV5,545.0,26.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
te-0nO0JHJg,2022-10-14,-0.992493212223053,1909.0,Sakshi,491.0,6.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
M3Pm07N2AQw,2022-10-14,0.99770325422287,2478.0,Sakshi,237.0,52.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
6xvylfNUbrY,2022-10-16,0.9979079961776732,14143.0,Sakshi,561.0,144.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
ZeacLQORINs,2022-10-18,0.998345136642456,11532.0,Sakshi,475.0,56.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
pPGVAR-PwrM,2022-10-20,0.9985100626945496,926.0,Sakshi,161.0,1.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
625xyoDLQ8k,2022-10-20,0.9979556798934937,5691.0,TV5,357.0,5.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
x9aHrCvtaQQ,2022-10-23,0.9973022937774658,66371.0,TV5,400.0,75.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pLTSJV8xY9k,2022-10-25,0.9818245768547058,913.0,TV5,351.0,0.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bWcgAINmwFc,2022-10-31,0.9987234473228456,1700.0,Sakshi,345.0,10.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
wn44Av7kqGI,2022-10-31,0.9881640672683716,33575.0,Sakshi,496.0,207.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BpMFmc0YAPA,2022-11-01,-0.9984341263771056,927.0,Sakshi,64.0,7.0,avvinigada.png,Ramesh Babu Simhadri,YSRCP,Avanigadda,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
