ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Yellow Media,Kuppam,janasena party,tdp pattabhi,ap employees,ap assembly session today,high court,alliance,Peddireddy ,polavaram,visakha,byreddy siddharth reddy
ZvscbDzJIx0,2022-09-24,-0.9994150400161744,11593.0,TV5,155.0,28.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
71LxM4N3-cM,2022-09-26,0.997996747493744,716.0,TV5,160.0,0.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-ZceAxCrZY4,2022-09-26,-0.9852535128593444,18268.0,Sakshi,223.0,55.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WsVrD4CP_BE,2022-09-27,-0.9940690994262696,2887.0,TV5,472.0,3.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KedJu3TErPI,2022-09-27,-0.995725154876709,15236.0,Sakshi,149.0,32.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
e9mQn6HV7jA,2022-09-27,0.9974684715270996,4298.0,Sakshi,252.0,1.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
IY2dM62YChA,2022-09-29,-0.9945295453071594,3112.0,TV5,525.0,2.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7tU2oO3XBo8,2022-09-30,0.998830020427704,1668.0,TV5,240.0,0.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GVAnyxtXVYY,2022-10-02,-0.9825066924095154,78161.0,TV5,595.0,139.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0psfsrv03s,2022-10-04,0.9879587888717652,1829.0,TV5,436.0,2.0,adoni.png,Y Sai Prasad Reddy,YSRCP,Adoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
