ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy
rVWWyHsOLG0,2022-08-21,-0.991407573223114,999.0,TV5,70.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
08FJ7HiMAPY,2022-08-22,0.9934822916984558,150005.0,Sakshi,243.0,274.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
OPagCxRsdJE,2022-08-22,0.994375705718994,84995.0,Sakshi,352.0,401.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
M3-u4VmbaKo,2022-08-30,-0.9974892139434814,1930.0,TV5,119.0,2.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
b7KidbOSwus,2022-09-01,0.998016119003296,2826.0,Sakshi,370.0,3.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3DtPNiMh3a0,2022-09-14,0.9956772923469543,76485.0,Sakshi,401.0,119.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TrbOaSq_rUQ,2022-09-17,-0.9935125708580016,4091.0,Sakshi,170.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
I4YNiwiejuw,2022-09-20,-0.9966936111450196,10396.0,TV5,334.0,11.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tpwzYxAEM3c,2022-09-23,0.9985966086387634,215686.0,Sakshi,396.0,192.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
rzJ9gKIM4p4,2022-09-24,0.9949982166290284,872.0,TV5,168.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
bBCEPRb7KqI,2022-09-27,0.9985490441322328,2572.0,Sakshi,225.0,3.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
K_U-QRC0dpc,2022-10-04,0.9854156374931335,1693.0,Sakshi,188.0,12.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
699S7rQmFgU,2022-10-11,0.9947118759155272,6012.0,Sakshi,305.0,14.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fpulqhotlpg,2022-10-12,0.990829586982727,2293.0,Sakshi,493.0,4.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
yYk0LOKdXqo,2022-10-12,-0.9953792095184326,1386.0,Sakshi,229.0,3.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
te-0nO0JHJg,2022-10-14,-0.992493212223053,1909.0,Sakshi,491.0,6.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
XlDlyZLnwyE,2022-10-16,-0.999502658843994,31790.0,TV5,202.0,43.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
re1uGMyx-gI,2022-10-17,0.987096667289734,3081.0,TV5,354.0,18.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gz8619MMhG4,2022-10-23,0.9967466592788696,629.0,ABN,264.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZkEx7YELR_4,2022-10-23,0.9916381239891052,861.0,TV5,270.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vYcuW3KFq4E,2022-10-26,0.9987258315086364,1003.0,TV5,105.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9AK0YHJPnSA,2022-10-27,0.9889745712280272,6258.0,Sakshi,231.0,25.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
txXZtLFfQeY,2022-10-27,-0.993698239326477,1177.0,TV5,204.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OjSMQua24lY,2022-10-29,-0.9988478422164916,363.0,ABN,265.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H7dqapt7Zbo,2022-10-29,-0.9940987825393676,735.0,ABN,300.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4wLUr5L1BPg,2022-10-29,-0.99442058801651,2425.0,Sakshi,287.0,6.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
KNX_dzWcq0s,2022-10-29,-0.992583155632019,1073.0,TV5,320.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HJ-TY7PWNzs,2022-10-30,-0.9968660473823548,852.0,TV5,541.0,3.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z05v0cXajhA,2022-10-31,-0.994827926158905,2955.0,ABN,236.0,5.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pyP_MrToGz4,2022-11-01,0.9977879524230956,4981.0,TV5,175.0,15.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-DTLFhHcc5g,2022-11-01,0.9974756836891174,880.0,TV5,170.0,7.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8sDv6U1nFGc,2022-11-01,0.998755931854248,365.0,TV5,280.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATSmXdKYm-8,2022-11-01,0.9976723790168762,544.0,TV5,265.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s50Btu5Ihis,2022-11-01,-0.9941465854644777,824.0,TV5,305.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUC4L_0J69Y,2022-11-03,-0.9993791580200196,880.0,ABN,445.0,3.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1ZO1NJJZ8I,2022-11-03,-0.998506724834442,1083.0,ABN,390.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uQIIKcc1xxw,2022-11-04,0.9941936135292052,1444.0,ABN,300.0,3.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kbQQ-Dv5DgM,2022-11-06,0.9970623850822448,2596.0,TV5,260.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bt4bVFPylcM,2022-11-06,-0.9993624091148376,2408.0,ABN,342.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z0xnyCeWIf0,2022-11-06,-0.9994487166404724,4264.0,ABN,329.0,5.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
