ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,raghurama ,AP ,yuvashakti,suprem court,ap development
XC6lVdACVfA,2023-04-08,0.9983861446380616,871.0,TV9,103.0,1.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,1,1,0,0,0,0,0,0,0,0,1
wWzknxbA7JI,2023-04-08,0.9890576004981996,2360.0,TV9,334.0,18.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,1,0
NXb02zQWEjk,2023-04-09,-0.9961439371109008,1999.0,Sakshi,303.0,4.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,1,0,0,1,1,1,0,0,1,1,1
nqg0xJViFcg,2023-04-09,-0.9942911863327026,3016.0,TV9,359.0,0.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
TtI2fO97umA,2023-04-09,-0.996254563331604,964.0,TV9,278.0,0.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
HymBBDjf6Y8,2023-04-09,0.9985547661781312,2416.0,TV9,72.0,0.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,1,1,1,0,0,0,0,1,1,0,1
2_Et4bS5fs8,2023-04-11,0.996404767036438,1146.0,TV9,191.0,2.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,1,1,1,1,0,0,1,1,1,1
0uIIkOiHbEY,2023-04-11,0.990044891834259,3942.0,TV9,149.0,7.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
2uGZJBM3DTk,2023-04-12,-0.9980893731117249,86498.0,TV5,340.0,168.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,1,0,1,1,1,0,0,0,0
FNaf7lFM2W8,2023-04-13,-0.998603880405426,8569.0,Sakshi,268.0,40.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,1,0,1,0,0,1
YPk6czt04o0,2023-04-14,-0.9681648015975952,323.0,TV5,259.0,2.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
8ER20GqerD8,2023-04-14,-0.9971097111701964,1947.0,ABN,87.0,2.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
DiLFK6fKong,2023-04-22,0.9980964064598083,23665.0,Sakshi,42897.0,7.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,1,0,0,1,0,0,0,0,0
4HDrENlIkyI,2023-04-22,0.9886296987533568,26940.0,ABN,42897.0,2.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
