ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,amaravati,alliance,yuvashakti,suprem court,ap development,tadipatri
TTxXIJRByoA,2023-01-26,0.9988184571266174,1974.0,TV9,292.0,2.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,1,1,0,0,0,0,0,0,1,0,0,1
7NrjTYy-zTk,2023-01-28,0.9936383366584778,1121.0,ABN,356.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,1,0,0,0,0,0,0,0,1,0
Dy-lg1N05a4,2023-01-28,0.9980732202529908,975.0,TV9,308.0,2.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
hsJl2nleh9M,2023-01-30,-0.9965167045593262,791.0,ABN,226.0,1.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
HgpGLz8t4J8,2023-01-31,-0.9990732669830322,8064.0,ABN,260.0,8.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,1,0,0,0,0,0,0,1,0,0
mcar7vtspSw,2023-01-31,-0.9983299374580384,4231.0,ABN,355.0,8.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,1,0,0,0,0,0
z7p5JdIMDJc,2023-02-01,0.993282914161682,23694.0,TV9,310.0,4.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,1,0,0,0,0,0,0,0,0,0,1
s2cyTn5kdfc,2023-02-07,-0.9967407584190368,1402.0,TV5,255.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
_nXQTGKeds0,2023-02-09,-0.9934865236282348,3413.0,ABN,485.0,3.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
Py0lnCI7Zeg,2023-02-09,0.9946473240852356,9999.0,TV5,430.0,20.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,1,0,1,1,0,0,0,0,0
3KkOgzdvgY0,2023-02-09,-0.9983956217765808,85962.0,TV5,430.0,157.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,1,0,0,1,0,0,0,0,0
2W89lgs1XXY,2023-02-09,-0.9973047971725464,6504.0,TV5,340.0,17.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,1,0,1,1,0,0,1,1,0
R6D7yHB8Qb4,2023-02-10,-0.994542360305786,3498.0,ABN,184.0,4.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,1,0,0,0,0,0,1,1,1,0,0
oqmG62bd5I4,2023-02-14,-0.992003321647644,1560.0,TV9,268.0,5.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
bm64l46HooE,2023-02-16,0.9800849556922911,239.0,ABN,416.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
pTlmFbhGLjU,2023-02-16,-0.9589457511901855,1776.0,TV9,85.0,5.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,1,0,0,0,1,0,0,1,1,0,0
BHzZZZKRxdU,2023-02-17,0.9948107004165648,858.0,ABN,295.0,2.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
uGzHtyBB9Sg,2023-02-17,0.8967893719673157,1828.0,ABN,520.0,6.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
uplEksV2fmo,2023-02-20,-0.997569501399994,2544.0,ABN,315.0,3.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,1,0,0,0,1,0,0,0,1,1,0
CGNN60jTpSM,2023-02-20,-0.9974390268325806,6780.0,ABN,440.0,10.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
WDE_5_8Zml8,2023-02-22,-0.997661590576172,842.0,TV5,240.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,1,0,0,0,1,0,0,0,0,1,0,1
XSMArFhtR6s,2023-03-01,-0.9915233850479126,493.0,TV9,267.0,7.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,1,0,0,0,0,0,0,0
F2YrVV0PgLA,2023-03-01,-0.9920604228973388,6107.0,TV9,227.0,10.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,1,0,1,0,0,0,0,0,0
CHzTY_oWVNs,2023-03-01,-0.9931835532188416,1331.0,TV9,319.0,2.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
FxejUrC6YdE,2023-03-01,-0.9908849596977234,451.0,TV9,272.0,5.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
MCOdsnx5NOU,2023-03-01,-0.9843032360076904,472.0,TV9,283.0,8.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
NJBHzHhaVtM,2023-03-02,-0.9985496401786804,3055.0,ABN,295.0,3.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,1,0,0,0,0,0,0,1,0,0
TWQNcdItdpQ,2023-03-06,0.9980394244194032,999.0,TV9,133.0,3.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,1,1,0,1,1,0,0,0,0,1,0
GxIYflNiQCs,2023-03-08,-0.9979323148727416,3397.0,ABN,223.0,4.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,1,0,0,0,1,0,0,0,1,0,0
4cd0AlnQ5q8,2023-03-09,-0.9990593791007996,4544.0,TV9,193.0,45.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
1xujb5AqmQk,2023-03-10,-0.9989784955978394,3288.0,TV9,233.0,9.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
ziPsYMy5UiM,2023-03-14,0.9974414110183716,181720.0,TV5,68.0,135.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
DGf4vmiImnE,2023-03-15,-0.993113100528717,852.0,ABN,318.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,0,0,0,0,0,0,0,0,0,0,1
J__wHAB3ZUo,2023-03-15,-0.993598222732544,789.0,ABN,307.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
DoEPUEHemoY,2023-03-19,-0.9927980303764344,1925.0,ABN,216.0,8.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,0,0,0,1,0,0,0,0,0,0,0
4Rfn6l2yIlM,2023-03-19,0.9981866478919984,2513.0,ABN,165.0,4.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,0,0,0,1,0,0,1,0,0,0,0
v3EU3gHjFVU,2023-03-19,0.9894444346427916,2296.0,TV5,125.0,14.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,0,0,0,1,1,0,0,0,0,0,0
haKxWFV_ctY,2023-03-20,-0.9948614239692688,1011.0,ABN,335.0,1.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,1,1,0,0,1,0,0,1,0,0,1,0
lVHzer2IaGM,2023-03-20,-0.998001992702484,3308.0,TV9,100.0,5.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,1,0,0,0,1,0,0,0,0,0,0
mmswdDh7rZM,2023-03-24,-0.9980289340019226,4959.0,ABN,180.0,1.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,1,0,0,0,0,0,0
XEA0xY08lj8,2023-03-25,-0.9884315729141236,3941.0,TV9,195.0,3.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,1,0,0
dIiwaHtr0_s,2023-03-25,-0.9993921518325806,1244.0,TV9,270.0,19.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
FdSbrM7rEnQ,2023-03-26,0.9988669157028198,1311.0,TV9,147.0,1.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
