ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,janasena party,ap assembly session today,alliance,visakha,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
AalvKAVHSCM,2022-09-21,0.9978450536727904,2092.0,Sakshi,90.0,11.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
U6S0GzocGHM,2022-09-24,0.9986282587051392,850.0,TV5,210.0,2.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1
PJ92cOqdBhA,2022-09-26,0.9958381652832032,198119.0,TV5,380.0,354.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HxCoFcis5mI,2022-09-30,-0.98954039812088,10082.0,Sakshi,186.0,49.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
k1uawtwi-v4,2022-10-03,0.9938602447509766,860.0,Sakshi,444.0,1.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
GZDLutVdufQ,2022-10-07,0.9878392219543456,2312.0,Sakshi,103.0,8.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1
e96ixxuY04k,2022-10-10,-0.9901390075683594,3521.0,Sakshi,444.0,11.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
JfpcrcFQHtI,2022-10-11,-0.9928860068321228,6319.0,TV5,570.0,14.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
v_Cb3U2gDs8,2022-10-12,-0.9924666285514832,897.0,Sakshi,593.0,3.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mBxLKzjhxHY,2022-10-13,-0.9994621872901917,2495.0,ABN,312.0,5.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
_UXq5H3KK5A,2022-10-19,0.9863702058792114,2156.0,Sakshi,579.0,12.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ho8OdhWbpg4,2022-10-21,-0.997117280960083,2483.0,TV5,325.0,0.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
