ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,yuvagalam,ap assembly session today,alliance,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
X_J67UOX_kc,2023-02-18,0.9985777139663696,781.0,TV5,174.0,1.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WE6vjWLIbp4,2023-02-20,-0.99904865026474,8429.0,TV5,328.0,10.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1
_lQLLjNvOeI,2023-02-21,-0.9981452226638794,1585.0,ABN,254.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2_gdGvvHFc,2023-02-27,-0.9875584840774536,580.0,TV9,301.0,1.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1
Cz-8FbBNFFA,2023-02-27,0.9865424633026124,1437.0,TV9,275.0,1.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
yu_dp09gPSw,2023-02-27,0.9982293248176576,1274.0,TV9,291.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0
R39WY3DgLl8,2023-03-04,0.9929391145706176,558.0,TV5,151.0,1.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
hObLfmANuX0,2023-03-05,-0.9975525736808776,3303.0,TV9,355.0,5.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X7iWn0Yhb50,2023-03-11,-0.9986995458602904,1803.0,TV5,112.0,3.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
fBClp8IDZmM,2023-03-11,0.9983067512512208,5187.0,Sakshi,277.0,14.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MBYZ0QJYeoI,2023-03-16,0.997102916240692,3447.0,ABN,240.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mML6Gjmq91o,2023-03-22,0.9981458187103271,1038.0,TV9,302.0,1.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecw_ZVs7Z4o,2023-03-22,0.9986005425453186,934.0,TV9,323.0,1.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
b431rj4yYrw,2023-03-24,0.9975345134735109,82855.0,TV5,358.0,138.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_yFW6g-sb_U,2023-03-24,0.9980822801589966,6657.0,TV5,236.0,7.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
yhx2KpE0n_g,2023-03-31,0.9973506927490234,6463.0,TV5,272.0,7.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
BpypLYQaegI,2023-03-31,-0.9976727366447448,5296.0,TV5,157.0,7.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1
NGdOnu1kt_k,2023-04-02,0.9980772733688354,8293.0,Sakshi,147.0,23.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
_dZcdBY80c0,2023-04-14,-0.9992982149124146,1411.0,ABN,215.0,2.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
sa2KAbxUu-U,2023-04-16,0.9961254000663756,1960.0,TV9,313.0,5.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
YGWVI01-54E,2023-04-20,0.9980157613754272,899.0,TV9,231.0,2.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1
YSfsC4kqFUo,2023-04-21,-0.9864324927330016,3126.0,TV9,144.0,8.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
