ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,gorantla ,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
OC3k4z2DX9k,2021-11-15,0.9971492886543274,3488.0,Sakshi,318.0,1.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ri7wHYqpPgQ,2021-11-17,-0.9754629731178284,11604.0,Sakshi,310.0,48.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wf6UvKew0oE,2021-11-18,0.9983841180801392,890.0,Sakshi,265.0,1.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cVtRTXyzsio,2021-11-24,0.9969106316566468,603.0,Sakshi,529.0,1.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mwv06jnlH7Y,2021-11-25,-0.9976626634597778,15797.0,Sakshi,106.0,32.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nle9yCZddRs,2021-11-25,-0.9073516130447388,575373.0,Sakshi,261.0,510.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zfeKnx_Lv4Y,2021-12-03,0.9965954422950744,17738.0,Sakshi,122.0,23.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3nFrggdkLO0,2021-12-08,0.9960930943489076,2160.0,Sakshi,346.0,3.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfMbDHEeCnA,2021-12-11,0.9925342798233032,12093.0,Sakshi,410.0,38.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
id9IXnw1O2E,2021-12-13,-0.9971287846565248,11377.0,Sakshi,397.0,88.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4tkNoYn-kS0,2021-12-17,0.998431384563446,9977.0,Sakshi,265.0,26.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c_W7mbVm-g,2021-12-29,0.9982666969299316,5342.0,Sakshi,227.0,17.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
O5MdgDubfdQ,2021-12-30,0.99511981010437,1626.0,Sakshi,579.0,10.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KJ-KvUs-1Is,2022-01-05,-0.6979511380195618,2231.0,Sakshi,302.0,7.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erj6dCAiyug,2022-01-05,-0.9990785121917723,7228.0,Sakshi,308.0,29.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IjnyXWAg-JI,2022-01-11,-0.913242757320404,2589.0,Sakshi,408.0,16.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KdgStVs9wUA,2022-01-11,-0.990969717502594,2658.0,Sakshi,305.0,19.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
V1EaFNrkzck,2022-01-25,0.9859730005264282,34235.0,Sakshi,233.0,42.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vH-FobDPsxE,2022-01-29,-0.9861148595809937,14908.0,Sakshi,400.0,28.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jtkXhAuxUJA,2022-02-03,-0.9971006512641908,14388.0,Sakshi,494.0,137.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNdbJDGL9i8,2022-02-12,0.9535071849822998,20815.0,Sakshi,273.0,76.0,Etcherla.png,Gorle Kiran Kumar,YSRCP,Etcherla,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
