ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Vidadala Rajini,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,gorantla ,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy, Botsa , vidadala ,bonda uma ,Kakani,ntr health university ,vijayasai reddy,jogi ramesh ,privatization,kotamreddy ,undavalli arun kumar,lakshmi parvathi,Preethi,roja,vidya deevena,nellore ,Machilipatnam,srikakulam,yuvashakti,ram gopal varma,tadepalli,ayyanna patrudu ,investors summit,ys vijayamma,Pension,vangaveeti radha,suprem court,perni nani ,tdp leaders arrest,Devineni Avinash,ap development,chintamaneni prabhakar,Kethireddy Venkatarami Reddy,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,butchaiah chowdary,Corona,janasena alliance with tdp,cpi narayana,gudivada ,bhuma akhila priya,Kodali Nani ,varahi ,election commission,nellore mekapati,kodi kathi,maa nammakam nuvve jagan,vidya deevena ,nandigama,High Court,Kadapa Steel Plant
xnkp7ym8b-U,2021-02-15,0.9946498274803162,1025.0,Sakshi,368.0,2.0,tekkali.png,Kinjarapu Atchannaidu,TDP,Tekkali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL1qa_l4IUQ,2021-02-16,0.9975283741950988,707.0,Sakshi,318.0,0.0,tekkali.png,Kinjarapu Atchannaidu,TDP,Tekkali,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
VHzx0OYJ1Eo,2021-02-16,0.9959558248519896,3615.0,Sakshi,274.0,2.0,tekkali.png,Kinjarapu Atchannaidu,TDP,Tekkali,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
4-vQ0UgB_U4,2021-02-16,0.9962841868400574,897.0,Sakshi,283.0,0.0,tekkali.png,Kinjarapu Atchannaidu,TDP,Tekkali,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fmo6qktIGGk,2021-02-16,0.997596800327301,822.0,Sakshi,236.0,1.0,tekkali.png,Kinjarapu Atchannaidu,TDP,Tekkali,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14F4Qv4Rmc,2021-02-16,-0.9896355271339417,943.0,Sakshi,293.0,0.0,tekkali.png,Kinjarapu Atchannaidu,TDP,Tekkali,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0
OFWFS_vjOaQ,2021-02-16,0.9966237545013428,1415.0,Sakshi,350.0,0.0,tekkali.png,Kinjarapu Atchannaidu,TDP,Tekkali,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esNk1Sdo9-k,2021-02-17,0.9946420192718506,3491.0,Sakshi,284.0,0.0,tekkali.png,Kinjarapu Atchannaidu,TDP,Tekkali,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4BuC37wG0K0,2021-02-17,-0.9910826683044434,5462.0,Sakshi,219.0,0.0,tekkali.png,Kinjarapu Atchannaidu,TDP,Tekkali,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHu6II9qfgQ,2021-02-18,-0.9990240335464478,4534.0,Sakshi,259.0,9.0,tekkali.png,Kinjarapu Atchannaidu,TDP,Tekkali,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
