ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Kuppam,janasena party,ap employees,ap assembly session today,high court,alliance,Peddireddy ,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy
s78kXaiO9g0,2022-06-24,0.9964995384216307,14524.0,Sakshi,160.0,18.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hWTYERRj8Uk,2022-06-27,0.9370933175086976,18187.0,Sakshi,526.0,24.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eOrrIL8aO-w,2022-06-29,0.9830370545387268,1692.0,Sakshi,315.0,0.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ggb29DYr9GY,2022-07-02,0.9983208775520324,18516.0,Sakshi,374.0,52.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGbCQKufju4,2022-07-02,0.998387098312378,38462.0,Sakshi,549.0,141.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hjja9oIl6bk,2022-07-07,0.966589093208313,56105.0,Sakshi,339.0,67.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jek4Z6g6iTE,2022-07-08,0.9949803948402404,2538.0,Sakshi,336.0,7.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aQPvOvI_yJE,2022-07-09,0.9980168342590332,58368.0,Sakshi,594.0,27.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fxjufh-_SH0,2022-07-09,0.9979647397994996,14843.0,Sakshi,457.0,23.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13VCte5oPLo,2022-07-10,-0.9973426461219788,172070.0,Sakshi,493.0,301.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_BmOn4NIc,2022-07-21,0.9982207417488098,5785.0,Sakshi,434.0,6.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ivfvnaNdL9Q,2022-08-03,0.991978645324707,81623.0,Sakshi,514.0,94.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VuNWr2E7_2Y,2022-08-03,-0.9693865776062012,151449.0,Sakshi,429.0,140.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19Ru3xK5ikY,2022-08-13,0.9899235367774964,2088.0,Sakshi,145.0,10.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
JM-EYn2KKUg,2022-08-17,-0.9852961897850036,2328.0,Sakshi,75.0,3.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DtHeeGDKoDo,2022-08-19,-0.9993854761123656,17504.0,Sakshi,237.0,190.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q0CU7IXRUOU,2022-08-22,0.9915195107460022,13122.0,Sakshi,489.0,158.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q94fAZ1LMbA,2022-08-23,-0.9991090893745422,3056.0,TV5,107.0,7.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Qqm8B6woNw,2022-08-25,-0.999021291732788,368.0,TV5,155.0,0.0,sullurpeta.png,kiliveti sanjeevaiah,YSRCP,Sullurpeta_sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
