ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,kodur.png,kadapa_l.png,vishakapatnam_west.png,kakinada.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,nandikotkur.png,tekkali.png
TUXKWPlRZmc,2023-03-13,103.0,0.0,1454.0,0.9987345337867736,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
ITCIxCVJwhk,2023-04-17,116.0,7.0,14461.0,-0.9993658661842346,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
lB1uiCxUiG8,2023-04-21,320.0,14.0,12529.0,0.9930196404457092,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
jQ7MWCxb-Yw,2023-02-24,90.0,20.0,5279.0,-0.99899023771286,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
nxueC9FQWyc,2023-04-18,157.0,3.0,7674.0,0.99046128988266,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
PlilqosM37s,2023-04-14,203.0,21.0,13195.0,-0.9987254738807678,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
Nwd787queb0,2023-01-16,180.0,3.0,39421.0,0.99775367975235,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
H1GziUY9hsg,2022-12-28,114.0,6.0,1994.0,0.9987871050834656,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
AfJO1czhQzs,2023-02-24,192.0,98.0,8558.0,-0.9802414178848268,Sakshi,Devineni Avinash,0,0,1,0,1,0,0,0,0,0,0,1,0
hTjq5eE0Cww,2023-01-15,335.0,4.0,2938.0,-0.9986329674720764,TV9,Devineni Avinash,0,0,0,1,0,0,0,0,0,0,0,0,0
ZHUBaXpoUvY,2023-03-29,85.0,0.0,571.0,0.9979806542396544,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
Id39UlUvKUU,2022-11-25,208.0,0.0,58301.0,-0.996977686882019,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
rQLxtv8C6y4,2023-03-27,325.0,7.0,7060.0,-0.9971575736999512,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
yIOX0flfZ_4,2023-04-15,120.0,7.0,8561.0,-0.9956047534942628,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
p5IEn1g58Sc,2023-04-21,80.0,100.0,96707.0,-0.9875280261039734,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
