ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,kodur.png,venkatagiri.png,pulivendula.png,kalayan_durg.png,pedana.png
26LwRPinro8,2022-12-21,78.0,1.0,1625.0,0.9987229704856871,ABN,Jayaho BC,0,0,0,0,0
m5WLJWixERs,2023-03-27,339.0,0.0,536.0,-0.998788058757782,TV5,Jayaho BC,0,0,0,0,0
Rj6_78gIRsY,2022-10-07,329.0,8.0,3053.0,-0.9979896545410156,TV5,Jayaho BC,0,0,0,0,0
0xykzdbL6fA,2022-12-05,173.0,2.0,1468.0,-0.9994369149208068,TV9,Jayaho BC,0,1,0,0,1
vAYBTB5NBb0,2023-01-26,169.0,0.0,1396.0,0.9969807267189026,TV9,Jayaho BC,0,0,0,0,0
Pc-LvRqzrvY,2022-12-07,363.0,2.0,2403.0,-0.9956685304641724,ABN,Jayaho BC,0,0,0,0,0
oPsGknD2HlA,2022-12-07,317.0,1.0,1282.0,0.9979400038719176,TV9,Jayaho BC,0,0,0,0,0
INo-QJ-fFfM,2022-12-07,673.0,9.0,6892.0,0.9935129284858704,Sakshi,Jayaho BC,0,0,0,0,0
OPQVkH0LQEI,2022-09-06,80.0,0.0,6582.0,0.9960975050926208,TV5,Jayaho BC,0,0,0,0,0
QEkGRV_EScE,2022-11-21,254.0,0.0,2432.0,0.9861149787902832,TV5,Jayaho BC,0,0,0,0,0
HRNbSXRFCik,2023-03-12,328.0,7.0,2941.0,0.9692771434783936,Sakshi,Jayaho BC,0,0,0,0,0
zkvSng03Qwg,2022-10-27,330.0,2.0,1460.0,0.9987196922302246,Sakshi,Jayaho BC,0,0,0,1,0
mxHpureX6g4,2022-12-07,282.0,9.0,6871.0,0.9889033436775208,Sakshi,Jayaho BC,0,0,0,0,0
sE5R5xzdgsc,2022-12-06,168.0,42.0,1306.0,0.9974199533462524,Sakshi,Jayaho BC,0,0,0,0,0
MWslNXz4r9A,2022-12-07,131.0,8.0,4827.0,0.9023360013961792,TV9,Jayaho BC,0,0,1,0,1
TeYUdPKwRtI,2022-12-07,324.0,0.0,1765.0,0.9981352090835572,Sakshi,Jayaho BC,0,1,0,0,0
W34SMfKTpas,2022-12-06,12039.0,3.0,27239.0,0.9949731826782228,TV9,Jayaho BC,0,0,0,0,0
0xa2u3hw4nA,2022-12-07,592.0,63.0,50571.0,0.9986054301261902,Sakshi,Jayaho BC,0,0,0,0,0
wbGCw5WvGKg,2023-04-04,223.0,2.0,1202.0,-0.9976231455802916,ABN,Jayaho BC,0,0,0,0,0
SKyoxj0toss,2022-12-10,350.0,118.0,72796.0,-0.9974898099899292,TV5,Jayaho BC,0,0,0,0,0
n76WSI_ROw8,2022-12-07,177.0,7.0,2962.0,-0.9983114004135132,TV9,Jayaho BC,0,1,0,0,0
gEhEvSRbeBg,2023-03-14,228.0,0.0,1383.0,0.994743585586548,TV9,Jayaho BC,0,0,1,0,0
EaUwKXu3i7Y,2022-12-07,265.0,3.0,2996.0,-0.9993719458580016,ABN,Jayaho BC,0,0,0,0,0
