ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,gandhar_nellore.png,kodur.png,venkatagiri.png,alur.png,kakinada.png,narsapuram_l.png,palakollu.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,vizianagaram.png,tekkali.png,pawan.png
vVM9jhdfbvU,2023-02-07,174.0,0.0,3082.0,0.9931333661079408,TV5,cpi narayana,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UUysXhM_9BQ,2022-10-12,198.0,0.0,772.0,-0.9986935257911682,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xn2mkRkjFhE,2023-02-08,280.0,35.0,30560.0,-0.8404067158699036,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uo_YrR2u7Bc,2023-03-25,90.0,1.0,1006.0,0.9961848855018616,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKO_uDS-yn4,2023-03-26,109.0,4.0,1194.0,-0.9990730285644532,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QrJiEIPovtc,2023-04-02,240.0,0.0,418.0,0.9877963662147522,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1t-7eyS2tGc,2023-02-04,330.0,2.0,2006.0,-0.9869883060455322,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1UmyVdXu5xs,2023-04-02,221.0,1.0,2435.0,-0.997292935848236,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dEuN8PPiJTg,2022-10-23,139.0,7.0,4314.0,0.9988555908203124,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
efzHe_9MSHA,2023-02-16,235.0,2.0,3163.0,-0.9976497292518616,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
