ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,gandhar_nellore.png,banaganapalle.png,penukonda.png,vizianagaram_.png,razole.png,rapka.png,gannavaram_vamsi.png,machillipatnam.png,jaggayyapeta.png,kodur.png,srikakulam_.png,venkatagiri.png,urvakonda.png,alur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,eluru.png,venkat_krishna.png,palakollu.png,gudivada.png,cheepurupali.png,penamaluru.png,myudukur.png,pulivendula.png,kanigiri.png,sarvepalli.png,vishakapatnam_south.png,kalayan_durg.png,madugula.png,unguturu.png,repalle.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,rayachoti.png,nandyal_l.png,paderu.png,vizianagaram.png,tadepalligudem.png,sambasivarao.png,tekkali.png,jammalamadugu.png,kadiri.png,hindupur.png,denduluru.png,pawan.png,palakonda.png,Narasannapeta.png
xXvvx4NSeZI,2022-12-31,259.0,23.0,7834.0,0.9968903660774232,TV9,Ramoji Rao,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rKIC6LpgbxY,2021-12-21,99.0,16.0,6115.0,0.9986737966537476,Sakshi,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ErM6OHtIn-Q,2022-12-21,103.0,227.0,104068.0,0.9987963438034058,Sakshi,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQeUJr0Y8Ic,2023-02-16,316.0,0.0,472.0,-0.7627872228622437,ABN,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iYPd_zTFGSI,2022-03-09,307.0,1.0,1202.0,0.9981206059455872,Sakshi,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRbdGZcel2Y,2022-11-24,217.0,98.0,48860.0,0.9986903071403505,Sakshi,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rx42h1yymO0,2022-07-27,326.0,118.0,61090.0,-0.9989996552467346,Sakshi,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jEz1BRL98Ck,2022-05-20,163.0,98.0,36724.0,-0.9968518614768982,Sakshi,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0FLLlnue87c,2022-08-22,289.0,64.0,43403.0,-0.998100221157074,Sakshi,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dRj--wfSsFg,2023-02-06,163.0,0.0,2195.0,-0.997876763343811,ABN,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs3on2_ZOzk,2023-01-17,425.0,4.0,8382.0,0.99617600440979,Sakshi,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
GqwOFZKAZEc,2022-09-22,260.0,20.0,7598.0,-0.9994725584983826,TV5,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hqG2iLj5mmo,2022-10-20,224.0,0.0,2022.0,0.9973891377449036,ABN,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1pPIeUeFeks,2023-01-10,248.0,5.0,2722.0,0.993372917175293,Sakshi,Ramoji Rao,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1sHUAriYF0,2023-01-23,61.0,2.0,866.0,0.9977220892906188,Sakshi,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yv2k5dQ7_jI,2023-01-05,65.0,32.0,20394.0,-0.9746174216270448,Sakshi,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RE88LzIEb14,2022-05-29,328.0,145.0,56325.0,0.995341181755066,Sakshi,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CPq52jedlCU,2023-01-09,263.0,3.0,351.0,-0.9791324734687804,TV5,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HTEzYXOqxwQ,2023-01-25,45.0,20.0,11523.0,0.9930225014686584,TV9,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NmCYh-pbf3k,2022-11-10,144.0,37.0,27777.0,-0.9981807470321656,TV5,Ramoji Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
