ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,venkatagiri.png,kakinada.png,kalayan_durg.png,sambasivarao.png
03TigLcCFBY,2023-03-15,199.0,0.0,6401.0,0.99655944108963,TV5,MLC Elections 2023,0,0,0,0
ejN0JsNJzHg,2023-03-22,388.0,3.0,3230.0,-0.9982692003250122,Sakshi,MLC Elections 2023,0,0,0,0
VosvFoJJQGk,2023-03-15,205.0,0.0,1376.0,0.9731570482254028,TV5,MLC Elections 2023,0,1,0,0
7GZg90cq_Yo,2023-03-17,149.0,3.0,3117.0,-0.9964302182197572,TV5,MLC Elections 2023,1,0,0,0
mNqB6tPc-kg,2023-03-07,181.0,6.0,154736.0,-0.9971969127655028,TV9,MLC Elections 2023,0,0,0,0
Rj6_78gIRsY,2022-10-07,329.0,8.0,3053.0,-0.9979896545410156,TV5,MLC Elections 2023,0,0,0,0
8q-kCDhAeG4,2023-02-21,203.0,4.0,7344.0,0.9985602498054504,Sakshi,MLC Elections 2023,0,0,0,0
6Dw91vkwNd4,2023-03-24,160.0,0.0,3244.0,-0.9943552017211914,TV5,MLC Elections 2023,0,0,0,0
ARZU5F46oOE,2023-02-20,164.0,6.0,2515.0,0.9956899285316468,Sakshi,MLC Elections 2023,0,0,0,0
WxKQY2Vnf24,2023-03-22,341.0,13.0,36271.0,0.9960797429084778,ABN,MLC Elections 2023,0,0,0,0
JM8U_AfB2tc,2023-03-02,185.0,1.0,588.0,-0.98150634765625,TV5,MLC Elections 2023,0,0,0,0
JWLOXCJNcYQ,2023-03-24,181.0,4.0,4050.0,-0.9958320260047911,TV5,MLC Elections 2023,0,0,0,0
jGLJEtxFu_M,2023-03-24,358.0,30.0,38281.0,-0.9993106126785278,TV5,MLC Elections 2023,0,0,0,0
EwZEos8O6nk,2023-03-16,269.0,1.0,12301.0,0.9935547709465028,TV9,MLC Elections 2023,0,0,0,0
QEkGRV_EScE,2022-11-21,254.0,0.0,2432.0,0.9861149787902832,TV5,MLC Elections 2023,0,0,0,0
s_QM55aquXA,2023-03-12,229.0,16.0,133780.0,-0.9971576929092408,TV9,MLC Elections 2023,0,0,0,0
fC8koZxQ74g,2023-03-19,120.0,2.0,7274.0,-0.9916201829910278,TV5,MLC Elections 2023,0,0,0,0
EfTDMs3Otsw,2023-03-19,253.0,51.0,252437.0,-0.9944806098937988,TV5,MLC Elections 2023,0,0,1,0
Ug5pEu6IuOs,2023-03-10,189.0,7.0,67082.0,-0.9912444949150084,TV9,MLC Elections 2023,0,0,0,0
VsQw0ieJKQU,2023-03-28,351.0,8.0,5946.0,-0.9981154203414916,Sakshi,MLC Elections 2023,0,1,0,0
VI1sfX2OOLo,2023-03-18,165.0,42.0,155184.0,0.9803608059883118,TV9,MLC Elections 2023,0,0,0,0
I0I2TGfUJcw,2023-03-17,280.0,60.0,65085.0,0.9956932663917542,TV5,MLC Elections 2023,0,0,0,0
dB2NFf_mlXk,2023-03-14,220.0,3.0,1895.0,-0.995855748653412,TV5,MLC Elections 2023,0,0,0,1
O2wcdVoB_F8,2023-03-11,228.0,3.0,62993.0,-0.999247670173645,TV9,MLC Elections 2023,0,0,0,0
uu3qMvYhOF8,2023-03-13,202.0,2.0,7700.0,-0.9725887179374696,TV5,MLC Elections 2023,0,0,0,0
akNQV36Bn-s,2023-03-27,275.0,15.0,9921.0,-0.9954851865768432,TV5,MLC Elections 2023,1,0,0,0
