ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,gandhar_nellore.png,penukonda.png,vizianagaram_.png,machillipatnam.png,jaggayyapeta.png,Srungavarapukota.png,kodur.png,srikakulam_.png,venkatagiri.png,urvakonda.png,alur.png,vishakapatnam_west.png,chodavaram.png,kakinada.png,chintalapudi.png,eluru.png,palakollu.png,gudivada.png,ankapalle.png,cheepurupali.png,penamaluru.png,myudukur.png,Rajam.png,pulivendula.png,jaggampeta.png,kanigiri.png,vinukonda.png,sarvepalli.png,singanamala.png,kalayan_durg.png,pedana.png,kaikuluru.png,madugula.png,unguturu.png,nandyal.png,sattenapalli.png,Etcherla.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,rayachoti.png,pamarru.png,nandyal_l.png,nandikotkur.png,vizianagaram.png,tadepalligudem.png,tekkali.png,kadiri.png,denduluru.png,pawan.png,tirupati_l2.png
xD2ZnYJO2hQ,2022-12-17,277.0,4.0,1329.0,-0.9938621520996094,Sakshi,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tvnxFv8gWHk,2023-01-21,580.0,3.0,1724.0,-0.999405026435852,ABN,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-UgcI1MY6YQ,2023-03-05,656.0,9.0,5638.0,-0.996651828289032,Sakshi,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mtMtqtm5TT0,2023-01-31,265.0,4.0,5062.0,0.9895100593566896,ABN,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8SRG7SZC7ao,2022-09-23,217.0,16.0,5572.0,-0.9922284483909608,Sakshi,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26CvLPDbSo0,2022-09-29,287.0,0.0,2209.0,-0.9964576363563538,TV5,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rx42h1yymO0,2022-07-27,326.0,118.0,61090.0,-0.9989996552467346,Sakshi,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kCqK1BIYzN8,2023-02-03,66.0,61.0,48392.0,0.9973301887512208,TV5,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1pPIeUeFeks,2023-01-10,248.0,5.0,2722.0,0.993372917175293,Sakshi,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tRGLAua5Nvk,2023-01-25,320.0,1.0,1187.0,-0.998971700668335,ABN,Yellow Media,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
QaXZWvHu4cE,2022-10-28,530.0,1.0,1321.0,-0.9717333912849426,Sakshi,Yellow Media,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ZRZlWH0hTKk,2023-01-30,345.0,1.0,1907.0,-0.9994229078292848,ABN,Yellow Media,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0O4FT3Ghysg,2023-02-22,795.0,14.0,5945.0,0.9982606768608092,Sakshi,Yellow Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4XSPFESxQSU,2022-12-06,157.0,16.0,1971.0,-0.9920753240585328,Sakshi,Yellow Media,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
