ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,penukonda.png,vizianagaram_.png,gannavaram_vamsi.png,machillipatnam.png,tenali.png,kodur.png,venkatagiri.png,alur.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,tadikonda.png,eluru.png,palakollu.png,gudivada.png,myudukur.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,paderu.png,sambasivarao.png,tekkali.png
TpKN7vClU-w,2022-10-16,169.0,29.0,214424.0,-0.9966185092926024,TV5,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKO_uDS-yn4,2023-03-26,109.0,4.0,1194.0,-0.9990730285644532,ABN,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qfGzyxrY2FU,2023-01-26,249.0,385.0,76136.0,-0.9961367249488832,Sakshi,Machilipatnam,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
o9-F7I7i5q8,2022-12-08,362.0,36.0,20652.0,-0.9964115023612976,TV9,Machilipatnam,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
DEC6QkqIvuY,2023-04-13,173.0,8.0,2114.0,-0.991632640361786,TV9,Machilipatnam,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g6IyakOi3gs,2022-10-28,300.0,5.0,3389.0,-0.998716115951538,ABN,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YQwU7tXaMNA,2023-03-15,197.0,20.0,2731.0,-0.9990843534469604,ABN,Machilipatnam,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sKyjelPb_QQ,2022-03-09,74.0,21.0,18954.0,-0.980115294456482,Sakshi,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAUd5DCNeBo,2023-01-08,215.0,0.0,704.0,-0.9906409382820128,TV5,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ozsCgE201kk,2023-04-12,7050.0,12.0,45403.0,0.9949239492416382,TV5,Machilipatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
