ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,gandhar_nellore.png,kakinada.png,palakollu.png,gudivada.png,pulivendula.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,tekkali.png,pawan.png,Narasannapeta.png
QQ2OzdHsGkE,2022-12-29,250.0,1.0,1519.0,-0.9979864358901978,ABN,bonda uma ,0,0,1,0,0,0,1,0,1,0,0
Ugs76ijXREU,2023-03-23,178.0,48.0,141873.0,0.9841030836105348,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
AUASo7W9bw8,2023-04-10,250.0,0.0,943.0,-0.9962784647941588,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
MVK8RLuSkXE,2022-10-07,85.0,2.0,1118.0,0.99315345287323,TV5,bonda uma ,1,0,0,0,0,0,0,0,0,0,0
PLRMaR5C1fk,2022-08-25,42897.0,6.0,137222.0,-0.9987375140190125,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
HcIzcyvmePs,2022-12-16,171.0,1.0,2581.0,-0.9964755177497864,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
Wo43EsB1hhY,2023-03-25,219.0,10.0,154499.0,0.992953598499298,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
T_gnd0e0A58,2023-02-11,4179.0,3.0,3277.0,0.9956642985343932,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
TKYmVcTGDVM,2023-04-16,134.0,42.0,8205.0,-0.9989032745361328,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,1
bOUnAMCvaTY,2022-09-25,356.0,35.0,21139.0,0.9986659288406372,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
FaQ7u_iIyx0,2023-01-12,191.0,5.0,5185.0,0.996535062789917,TV5,bonda uma ,0,0,0,0,0,1,0,0,0,0,0
Eqsp8MEc9fo,2022-10-12,316.0,42.0,15494.0,0.998273491859436,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
fi4yhNtQg-U,2022-01-22,124.0,90.0,33911.0,-0.9960814118385316,Sakshi,bonda uma ,0,0,0,1,0,0,0,0,0,0,0
19ErIMwMpnw,2023-01-08,529.0,243.0,205961.0,0.9970494508743286,TV5,bonda uma ,0,1,0,0,0,0,0,0,0,1,0
nqXwL8-piI0,2023-02-05,64.0,0.0,896.0,-0.9913839101791382,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
Nkep4oy7POI,2023-01-31,345.0,51.0,71559.0,-0.9976654052734376,ABN,bonda uma ,0,0,0,0,1,0,0,0,0,0,0
AKcjPOig49c,2023-03-25,307.0,2.0,1205.0,-0.9994699358940125,TV5,bonda uma ,1,0,0,0,0,0,0,0,0,0,0
jPkVRSe_s-8,2023-02-10,339.0,1.0,1450.0,-0.9993374943733216,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
eqEV54XcpLs,2023-03-10,261.0,0.0,667.0,-0.998091757297516,TV9,bonda uma ,1,0,0,0,0,0,0,0,0,0,0
oE-HtcALZ2g,2023-01-11,10527.0,1.0,26527.0,-0.998959183692932,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
hm7Bh7JVdv8,2023-02-21,273.0,12.0,5109.0,-0.9976984858512878,TV9,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
he0JuivXTiU,2022-12-07,300.0,0.0,1413.0,-0.9986055493354796,ABN,bonda uma ,0,0,1,0,0,0,0,0,1,0,0
LkyDLEH1QxE,2023-03-30,271.0,4.0,2970.0,-0.998319447040558,TV9,bonda uma ,0,0,0,0,0,0,0,0,1,0,0
Yx865pvy_08,2022-10-19,117.0,2.0,853.0,-0.9990622401237488,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
vXlpDY8YasE,2022-11-13,305.0,1.0,1169.0,-0.996552348136902,ABN,bonda uma ,1,0,0,0,0,0,0,0,0,0,0
2im6AMOucwQ,2022-11-27,215.0,77.0,20119.0,0.9959983825683594,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
Vva-B1EBGu8,2022-11-01,85.0,1.0,957.0,-0.9558596611022948,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
aEhW8bO6dWw,2023-04-03,155.0,16.0,15833.0,-0.9983702301979064,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
VB53BamVZ18,2022-11-13,173.0,0.0,485.0,-0.9985367059707642,ABN,bonda uma ,1,0,0,0,1,0,0,0,0,0,1
IBV0YmDtri8,2022-12-10,83.0,0.0,1062.0,-0.993655800819397,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
dDrfLDl7Dik,2023-02-06,133.0,1.0,839.0,0.998583197593689,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
aHYCWXd19L4,2023-03-10,185.0,0.0,1006.0,-0.9962478280067444,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
T51wkbSQs8M,2022-10-26,280.0,4.0,1643.0,-0.9972192049026488,TV5,bonda uma ,1,0,0,0,0,0,0,0,0,0,0
Iu7XKYMSZkE,2023-01-23,249.0,0.0,1166.0,-0.998021960258484,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
YY7gRZMsWyg,2023-04-11,1745.0,0.0,940.0,0.9973952770233154,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
tNyAsZ1TV6I,2022-12-06,125.0,1.0,437.0,-0.9919370412826538,TV5,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
NfGW-7YXB18,2023-04-11,77.0,3.0,11152.0,0.9881795644760132,ABN,bonda uma ,0,0,0,0,0,0,0,0,0,0,0
